Original,Spanish,French,German,Italian,Portuguese,Index
"""A nostalgic Mario sits on a mushroom-shaped couch, reminiscing about his adventures.""","Mario se sienta en un sofá en forma de seta, recordando sus aventuras con nostalgia.","Mario nostalgique s'assoit sur un canapé en forme de champignon, en repensant à ses aventures.","Ein nostalgischer Mario sitzt auf einem Pilzformigen Sofa, und er erinnert sich an seine Abenteuer.","Mario seduto su un divano a forma di funghi, si abbandona a ricordi nostalgici delle sue avventure.","""Um Mario nostálgico senta-se em um sofá em forma de cogumelo, rememorando suas aventuras.""",1824
"""Mario sitting at a wooden desk in a cozy, rustic cabin with a fireplace.""",Mario sentado a una mesa de madera en una cabaña acogedora y rústica con una chimenea.,Mario assis à un bureau en bois dans une cabane rustique accueillante avec une cheminée.,"Mario sitzt an einem holzverkleideten Schreibtisch in einem gemütlichen, rustikalen Holzhäuschen mit einem Kamin.",Mario siede a un tavolo di legno in una cabina rurale accogliente con un camino.,"""Mário sentado em uma mesa de madeira em uma cabana acolhedora e rústica com uma lareira.""",409
"""Mario's joyful leap as he jumps over a massive, rolling boulder in a vast, open desert landscape, the bright blue sky and endless dunes stretching out behind him, his red cap and blue overalls fluttering in the wind.""","""El salto alegre de Mario mientras salta sobre un inmenso, rodante, bloque de piedra en un vasto y abierto paisaje de desierto, el cielo azul brillante y las dunas interminables se extienden detrás de él, su gorra roja y pantalones azules revolotean en el viento.""","Le saut joyeux de Mario alors qu'il saute par-dessus un énorme rocher roulant dans un paysage désertique vaste et ouvert, le ciel bleu éclatant et les dunes infinies s'étendant derrière lui, son chapeau rouge et son pantalon bleu s'agitent au vent.","""Marios fröhlicher Sprung, als er über einen riesigen, rollenden Felsen in einer weiten, offenen Wüstenlandschaft springt, der helle blaue Himmel und endlose Dünen erstrecken sich hinter ihm, sein roter Hut und blauer Overall flatterten im Wind.""","""Il balzo gioioso di Mario mentre salta sopra un'enorme e rotolante pietra, in un vasto paesaggio desertico aperto, il cielo azzurro radioso e le dune infinite che si estendono dietro di lui, il suo cappello rosso e gli overol azzurri che sventolano al vento.""","""O salto alegre de Mario ao saltar sobre um imenso e rolando bloco de pedra em um vasto e aberto cenário de desertos, o céu azul brilhante e as dunas infindáveis se estendendo atrás dele, seu chapéu vermelho e calças azuis balançando ao vento.""",4506
"""A group of Goombas flee in terror as a confident Mario approaches, wearing a red cap and blue overalls, with a red fire flower in one hand and a golden coin in the other.""","Un grupo de Goombas huye en terror mientras Mario, con confianza, se acerca, llevando un gorro rojo y overoles azules, con una flor de fuego roja en una mano y una moneda de oro en la otra.","Un groupe de Goombas s'enfuit dans la terreur tandis qu'un Mario confiant se rapproche, portant un chapeau rouge et des overalls bleus, avec une fleur de feu rouge dans une main et une pièce d'or dans l'autre.","Ein Gruppe von Goombas flieht in Schrecken, als ein selbstbewusster Mario auftritt, mit rotem Hut und blauen Arbeitsanzügen, mit einem roten Feuerblume in einer Hand und einem goldenen Münze in der anderen.","Un gruppo di Goombas fuggono terrorizzati mentre Mario si avvicina con fiducia, indossando un cappello rosso e pantaloni blu, con un fiore di fuoco rosso in una mano e una moneta d'oro nell'altra.","Um grupo de Goombas foge em terror enquanto Mario se aproxima confiante, usando um chapéu vermelho e calças azuis, com uma flor de fogo vermelha na mão esquerda e uma moeda dourada na mão direita.",4012
"""A dramatic storm cloud looms above Mario, a bolt of lightning illuminating his startled face.""","""Una nube tormentosa amenaza sobre Mario, una descarga de rayo ilumina su rostro sorprendido.""","Une énorme nuage orageux menace Mario, une foudre illuminant son visage ébahi.","Ein dramatischer Gewitterwolken hängt über Mario, ein Blitz erleuchtet sein erstauntes Gesicht.","""Una nube tempestosa drammatica si leva sopra Mario, un fulmine che illumina la sua faccia sorpresa.""","Uma nuvem tempestuosa dramática paira acima de Mario, um raio de luz iluminando seu rosto surpreso.",3657
"""A spotlight shines down on Mario's mischievous expression as he sneaks through a dark, abandoned castle.""","""Una luz de foco brilla hacia abajo sobre la expresión traviesa de Mario mientras se desliza furtivamente por un oscuro y abandonado castillo.""",Un projecteur éclaire le visage malicieux de Mario tandis qu'il se glisse furtivement à travers un château sombre et abandonné.,"Ein Spotlight scheint auf Marios verschmitzten Gesichtsausdruck hinab, während er durch ein dunkles, verlassenes Schloss schleicht.","""Un riflettore si abbassa su espressione maliziosa di Mario mentre si intrufola in un castello buio e abbandonato.""","""Uma luz de palco brilha sobre a expressão travessa de Mario enquanto ele se esgueira por um castelo escuro e abandonado.""",2286
"""Mario wearing a bright red hat and blue overalls, standing confidently on a mushroom.""","""Mario llevando un sombrero rojo brillante y overoles azules, parado confiadamente sobre un hongo.""","Mario portant un chapeau rouge vif et des overalls bleus, debout avec confiance sur un champignon.","Mario trägt ein helleres rotes Hut und blaue Overalls, steht selbstbewusst auf einem Pilz.","""Mario indossa un cappello rosso brillante e un paio di pantaloni blu, in piedi con fiducia su un fungo.""","O Mario vestindo um chapéu vermelho brilhante e calças azuis, parado confiantemente sobre um cogumelo.",1679
"""Mario wading through a shallow, turquoise-colored ocean with seagulls flying above.""","""Mario nadando a través de un océano poco profundo de color turquesa con gaviotas volando por encima.""","Mario plongeant à travers un océan peu profond, d'une couleur turquoise, avec des goélands volant au-dessus.","Mario watet durch einen flachen, turkisfarbenen Ozean, während Möwen über ihm fliegen.",Mario che nuota in un oceano poco profondo di colore blu-turquesa con gabbiani che volano sopra.,"""Mário nadando em uma água rasante, de cor azul-turquesa, com gaivotas voando acima.""",8935
"""Mario stands in a beautiful garden, wearing a gardening hat and holding a watering can, with a peaceful expression on his face.""","Mario se encuentra en un hermoso jardín, vestido con un sombrero de jardinería y sosteniendo un canasto de riego, con una expresión pacífica en su rostro.","Mario se tient dans un jardin magnifique, portant un chapeau de jardinier et tenant une cannette d'eau, avec un air paisible sur son visage.","Mario steht in einem wunderschönen Garten, trägt einen Gartentopf auf dem Kopf und hält ein Wassereimer in der Hand, mit einem friedlichen Ausdruck auf seinem Gesicht.","Mario si trova in un bellissimo giardino, indossa un cappello da giardiniere e tiene un secchio d'acqua, con un'espressione serena sul suo volto.","""Mário está em um jardim lindo, usando um chapéu de jardineiro e segurando uma regadora, com uma expressão pacífica no rosto.""",1424
Mario's red cap is held by a friendly Yoshi as it looks on.,El sombrero rojo de Mario es sostenido por un amigable Yoshi mientras lo observa.,Le chapeau rouge de Mario est tenu par un Yoshi amical qui regarde autour de lui.,"Marios roter Hut wird von einem freundlichen Yoshi gehalten, während es zusieht.",Il cappello rosso di Mario è tenuto da un amichevole Yoshi mentre guarda.,O chapéu vermelho do Mario é segurado por um amigável Yoshi enquanto ele olha.,9674
