Original,Spanish,French,German,Italian,Portuguese,Index
"Angelina Jolie walking through a bustling market in Marrakech, wearing a colorful headscarf and a gold necklace.","Angelina Jolie caminando por un mercado animado en Marrakech, vestida con un pañuelo de cabeza de colores y un collar de oro.","Angelina Jolie se promenant dans un marché animé de Marrakech, portant un foulard coloré et une chaîne d'or.","Angelina Jolie geht durch eine belebte Märkte in Marrakesch, während sie ein farbenfrohes Kopftuch und einen goldenen Halsreif trägt.","Angelina Jolie che cammina attraverso un mercato affollato a Marrakech, indossando un foulard colorato e un collare d'oro.","Angelina Jolie passando por um mercado movimentado em Marrakech, vestindo um lenço de cabeça colorido e um colar de ouro.",1824
"Angelina Jolie standing in a lush green garden, wearing a delicate floral crown and a flowing yellow sundress.","Angelina Jolie de pie en un jardín verde y espeso, vestida con una corona floral delicada y un vestido amarillo de gasa.","Angelina Jolie debout dans un jardin luxuriant vert, portant une couronne florale délicate et une robe jaune en flottant.","Angelina Jolie steht in einem üppigen grünen Garten, trägt ein zartes Blumenkranz und ein fließendes gelbes Sommerkleid.","Angelina Jolie in piedi in un giardino rigoglioso di verde, indossa una corona fiorita delicata e un abito da sole giallo che fluttua.","Angelina Jolie parada em um jardim verdejante, vestindo uma coroa floral delicada e um vestido amarelo de manga larga.",409
"Angelina Jolie in a fitted, high-collared white shirt and high-waisted black pants, looking focused as she works on a complex puzzle in a quiet, modern study.","Angelina Jolie en una camisa blanca ajustada con cuello alto y pantalones negros de cintura alta, mirando concentrada mientras trabaja en un rompecabezas complejo en un estudio tranquilo y moderno.","Angelina Jolie, vêtue d'une chemise blanche à col haut et serré, et de pantalons noirs à taille haute, se concentre en travaillant sur un puzzle complexe dans un étude moderne et silencieuse.","Angelina Jolie in einem passenden, hochgeschlossenen weißen Hemd und hochgeschwerten schwarzen Hosen, aussieht konzentriert, während sie an einem komplexen Puzzle in einem ruhigen, modernen Arbeitszimmer arbeitet.","Angelina Jolie in una camicia bianca aderente con colletto alto e pantaloni neri aderenti, guarda concentrata mentre lavora a un puzzle complesso in un studio silenzioso e moderno.","Angelina Jolie, vestindo uma blusa branca justa com gola alta e calças pretas de cintura alta, parece concentrada enquanto trabalha em um quebra-cabeça complexo em uma estuda calma e moderna.",4506
"Angelina Jolie wearing a bold, colorful headdress and a statement piece of jewelry, performing a dramatic dance in a crowded theater, her face alight with passion.","Angelina Jolie viste una impresionante y colorida diadema y un pieza de joyería de declaración, realizando una dramática danza en un teatro concurrido, su rostro iluminado por la pasión.","Angelina Jolie portant un coiffure audacieux et coloré, ainsi qu'un bijou d'assertion, en exécutant une danse dramatique dans un théâtre bondé, son visage illuminé de passion.","Angelina Jolie trägt ein auffälliges, farbenfrohes Kopftuch und eine Schmuckstück, das die Aufmerksamkeit auf sich zieht, und tanzt in einer überfüllten Theaterhalle mit dramatischer Bewegung, ihr Gesicht leuchtet vor Leidenschaft.","Angelina Jolie indossa un copricapo audace e colorato e un pezzo di gioielleria da statement, esegue un drammatico ballo in un teatro affollato, il suo volto accesa da passione.","Angelina Jolie usando uma cabeleira ousada e colorida, e um acessório de joalharia de declaração, fazendo uma dança dramática em um teatro lotado, seu rosto iluminado pela paixão.",4012
"Angelina Jolie in a beautiful, blue and white striped sundress walking along a tranquil, oceanfront boardwalk.","Angelina Jolie caminando por un acogedor paseo marítimo con un hermoso vestido de rayas azules y blancas, mientras se dirige a un lugar sereno.","Angelina Jolie dans une jolie robe de soleil bleue et blanche rayée, marchant le long d'un quai calme bordant l'océan.","Angelina Jolie in einem schönen, blauen und weißen gestreiften Sonntagskleid, entlang eines friedlichen, an der Küste gelegenen Promenadenweges spaziert.","Angelina Jolie in una bella, azzurra e bianca camicia da notte a strisce cammina lungo un tranquillo, marciapiede di fronte all'oceano.","Angelina Jolie em um lindo vestido de sol da tarde azul e branco listrado, caminhando ao longo de uma tranquilizante calçada de praia.",3657
Angelina Jolie sitting in a peaceful forest surrounded by a family of deer.,Angelina Jolie sentada en un bosque pacífico rodeada de una familia de venados.,Angelina Jolie assise dans une forêt paisible entourée d'une famille de cerfs.,"Angelina Jolie sitzt in einem friedlichen Wald, umgeben von einer Familie von Hirschen.",Angelina Jolie seduta in un bosco pacifico circondata da una famiglia di daini.,Angelina Jolie sentada em uma floresta pacífica rodeada por uma família de cervos.,2286
"Angelina Jolie in a fitted red leather jacket, riding a motorcycle down a winding mountain road.","Angelina Jolie con un chaqueta de cuero rojo ajustado, cabalgando en una motocicleta por una carretera montañosa sinuosa.","Angelina Jolie portant une veste de cuir rouge ajustée, en conduisant une moto sur une route sinueuse de montagne.","Angelina Jolie in einem engen roten Lederjackett, auf einem Motorrad einen windigen Bergstraße hinab fahrend.","Angelina Jolie indossa un giacca in pelle rosso aderente, mentre guida in moto su una strada montana sinuosa.","Angelina Jolie usando um casaco de couro vermelho ajustado, dirigindo uma motocicleta pela uma estrada de montanha sinuosa.",1679
"Angelina Jolie walking through a crowded airport, her eyes fixed on a distant departure board.","Angelina Jolie caminando por un aeropuerto concurrido, sus ojos fijos en una pizarra de salidas distante.","Angelina Jolie se promenant dans un aéroport encombré, ses yeux fixés sur un tableau d'affichage de départ lointain.","Angelina Jolie geht durch einen überfüllten Flughafen, ihre Augen sind auf einem entfernten Abflugbrett fixiert.","Angelina Jolie che cammina attraverso un aeroporto affollato, i suoi occhi fissi su un tabellone di partenze lontano.","Angelina Jolie caminhando por um aeroporto lotado, os olhos fixos em uma tabela de partida distante.",8935
"Angelina Jolie standing in a crowded market, surrounded by vibrant street performers.","Angelina Jolie de pie en un mercado concurrido, rodeada de artistas callejeros vibrantes.","Angelina Jolie se tenait dans un marché bondé, entourée de divers artistes de rue vibrants.","Angelina Jolie steht in einer überfüllten Markthalle, umgeben von lebhaften Straßenkünstlern.","Angelina Jolie che si trova in un mercato affollato, circondata da artisti di strada vibranti.","Angelina Jolie parada em um mercado lotado, cercada por artistas de rua vibrantes.",1424
"A dramatic shot of Angelina Jolie in a black leather jacket, riding a motorcycle through a desert landscape.","Una toma dramática de Angelina Jolie con un chaleco de cuero negro, montando una motocicleta a través de un paisaje desértico.","Une prise de vue dramatique d'Angelina Jolie dans un blouson en cuir noir, chevauchant une moto à travers un paysage désertique.","Ein dramatisches Bild von Angelina Jolie in einem schwarzen Ledermantel, die auf einem Motorrad durch eine Wüstenumgebung fährt.","Un'inquadratura drammatica di Angelina Jolie con un giaccone in pelle nera, che guida una motocicletta attraverso un paesaggio desertico.","Uma cena dramática de Angelina Jolie usando um casaco de couro preto, dirigindo uma motocicleta por meio de um cenário de deserto.",9674
