Original,Spanish,French,German,Italian,Portuguese,Index
SpongeBob's curious expression as he explores a hidden cave beneath the sea.,La expresión curiosa de SpongeBob mientras explora una cueva oculta debajo del mar.,L'expression curieuse de SpongeBob lorsqu'il explore une grotte cachée sous la mer.,"SpongeBobs neugierige Miene, während er ein verborgenes Höhlensystem unter dem Meer erkundet.",L'espressione curiosa di SpongeBob mentre esplora una grotta nascosta sotto il mare.,A expressão curiosa do SpongeBob ao explorar uma caverna escondida abaixo do mar.,1824
SpongeBob standing in front of a colorful Krusty Krab restaurant at sunset.,SpongeBob parado frente a un restaurante Krusty Krab colorido al atardecer.,SpongeBob se tenant debout devant un restaurant Krusty Krab coloré à la tombée du soleil.,SpongeBob steht vor einem farbenfrohen Krusty Krab-Restaurant am Sonnenuntergang.,SpongeBob in piedi davanti ad un colorato ristorante Krusty Krab al tramonto.,O SpongeBob parado em frente a um restaurante Krusty Krab colorido ao pôr do sol.,409
"""SpongeBob nervously holding a microphone, wearing a suit and tie, and standing in front of a crowded auditorium.""","""SpongeBob nerviosamente sosteniendo un micrófono, vestido con un traje y corbata, y parado frente a un auditorio lleno de gente.""","SpongeBob tient nerveusement un microphone, vêtu d'un costume et d'une cravate, et se tient debout devant une salle d'auditoire bondée.","""SpongeBob nervös mit einem Mikrofon haltend, in einem Anzug und mit Krawatte bekleidet, vor einem überfüllten Auditorium stehend.""","""SpongeBob tiene nervosamente in mano un microfono, indossando un completo e cravatta, e in piedi di fronte ad un auditorio affollato.""","""SpongeBob segurando nervosamente um microfone, vestindo um terno e gravata, e parado em frente a uma auditorium lotada.""",4506
"""A nostalgic SpongeBob reminiscing about his childhood in a dimly lit, old-fashioned Bikini Bottom.""","""SpongeBob con un toque nostálgico recordando su infancia en un Bikini Bottom anticuado, iluminado con una luz tenue.""","Un SpongeBob nostalgique qui se souvient de son enfance dans un Bikini Bottom à la lumière faible, à l'ancienne.","Ein nostalgischer SpongeBob, der sich an seine Kindheit in einem dunkel beleuchteten, alten Bikini Bottom erinnert.","""SpongeBob nostalgico, che riflette sulla sua infanzia in un vecchio, affascinante Bikini Bottom, illuminato da una luce fioca.""","O SpongeBob nostálgico lembrando-se da sua infância em um Bikini Bottom velho e decadente, iluminado apenas pela luz suave de uma iluminação antiga.",4012
"""A bustling scene of the Krusty Krab at lunchtime, with SpongeBob and Mr. Krabs working together to serve hungry customers.""","""Un escenario animado del Krusty Krab en hora de almorzar, con SpongeBob y Mr. Krabs trabajando juntos para atender a clientes hambrientos.""","""Une scène animée du Krusty Krab à l'heure du déjeuner, avec SpongeBob et M. Krabs qui travaillent ensemble pour servir des clients affamés.""","Ein hektischer Anblick im Krusty Krab bei Mittagessen, wobei SpongeBob und Mr. Krabs gemeinsam hungrigen Kunden bedienen.","""Un'atmosfera animata del Krusty Krab a pranzo, con SpongeBob e Mr. Krabs che lavorano insieme per servire i clienti affamati.""","""Cena animada do Krusty Krab durante o horário do almoço, com SpongeBob e o Sr. Krabs trabalhando juntos para atender clientes famintos.""",3657
SpongeBob enthusiastically greets a group of excited seagulls on a sunny beach in Bikini Bottom.,SpongeBob saluda con entusiasmo a un grupo de gaviotas emocionadas en una playa soleada en Bikini Bottom.,SpongeBob accueille avec enthousiasme un groupe d'goélands excités sur une plage ensoleillée de Bikini Bottom.,SpongeBob begrüßt begeistert eine Gruppe von aufgeregten Möwen auf einer sonnigen Strand in Bikini Bottom.,SpongeBob accoglie con entusiasmo un gruppo di gabbiani eccitati su una spiaggia soleggiata a Bikini Bottom.,O SpongeBob cumprimenta entusiasticamente um grupo de gaivotas emocionadas em uma praia ensolarada em Bikini Bottom.,2286
"""SpongeBob sitting at a desk, surrounded by colorful books and papers, with a bright, yellow pencil in his hand.""","""SpongeBob sentado en una mesa, rodeado de libros y papeles de colores, con un lápiz amarillo brillante en su mano.""","SpongeBob assis à une table, entouré de livres et de papiers colorés, avec un crayon jaune vif dans la main.","SpongeBob sitzt an einem Schreibtisch, umgeben von farbenfrohen Büchern und Papieren, mit einem hellgelben Bleistift in der Hand.","SpongeBob seduto a un tavolo, circondato da libri e fogli colorati, con un matita gialla brillante in mano.","""SpongeBob sentado à uma mesa, cercado por livros coloridos e papéis, com um lápis amarelo brilhante na mão.""",1679
SpongeBob standing on the edge of a sandy beach at sunset with a bucket and shovel in hand.,SpongeBob parado en la orilla de una playa arenosa al atardecer con una cubeta y una pala en la mano.,"SpongeBob debout au bord d'une plage sableuse au coucher du soleil, tenant un seau et une pelle à la main.",SpongeBob steht am Rande eines sandigen Strandes bei Sonnenuntergang mit einem Eimer und Schaufel in der Hand.,SpongeBob in piedi all'orlo di una spiaggia di sabbia al tramonto con un secchio e una vanga in mano.,"SpongeBob em pé na beira de uma praia de areia ao pôr do sol, segurando um balde e uma pá na mão.",8935
SpongeBob enthusiastically waving a giant American flag on the 4th of July.,SpongeBob ondeando entusiasmado una inmensa bandera estadounidense el 4 de julio.,SpongeBob brandissant avec enthousiasme un immense drapeau américain le 4 juillet.,SpongeBob begeistert winkt mit einem riesigen amerikanischen Flagge am 4. Juli.,SpongeBob onorato ondeggiando una gigantesca bandiera americana il 4 luglio.,SpongeBob ondulando entusiasticamente uma imensa bandeira americana no dia 4 de julho.,1424
"""SpongeBob in a chef's hat, flipping Krabby Patties on a sizzling grill.""","""SpongeBob con un sombrero de chef, revolviendo Krabby Patties en una parrilla siseante.""","""SpongeBob portant un chapeau de chef, en faisant sauter des Krabby Patties sur un grill qui fume.""","""SpongeBob in einer Chefmütze, Krabby Patties auf einem schießenden Grill wendet.""","""SpongeBob con un cappello da chef, che frigge le Krabby Patties su una griglia sfrigellante.""","""SpongeBob usando um chapéu de cozinheiro, revirando Krabby Patties em uma grelha sibilante.""",9674
SpongeBob enthusiastically high-fiving Patrick Star on the beach.,SpongeBob da un apretón de manos entusiasta a Patrick Star en la playa.,SpongeBob tape un grand coup de main enthousiaste à Patrick Star sur la plage.,"SpongeBob freut sich begeistert, Patrick Star auf dem Strand zum High-Five zu gratulieren.",SpongeBob dà un entusiastico cinque a Patrick Star sulla spiaggia.,SpongeBob apertando a mão entusiasmado com Patrick Star na praia.,4784
"""A close-up of SpongeBob's face, his eyes wide with excitement, as he holds up a Krabby Patty in a dimly lit kitchen.""","""Una toma de cerca de la cara de SpongeBob, con los ojos muy abiertos de emoción, mientras sostiene una Krabby Patty en una cocina iluminada débilmente.""","""Un plan large de la figure de SpongeBob, ses yeux grands ouverts d'excitation, tandis qu'il tient un Krabby Patty dans une cuisine éclairée faiblement.""","Ein enges Bild von SpongeBobs Gesicht, seine Augen weit aufgerissen vor Aufregung, während er ein Krabby Patty in einem dunkel beleuchteten Küchen aufhält.","Un primo piano della faccia di SpongeBob, con gli occhi spalancati dall'emozione, mentre tiene in alto un Krabby Patty in una cucina illuminata a malapena.","""Um close-up da face do SpongeBob, seus olhos arregalados de excitação, enquanto ele segura um Krabby Patty em uma cozinha iluminada com luzes fracas.""",520
"""SpongeBob holding a large, inflatable beach ball with a goofy, carefree expression.""","""SpongeBob sosteniendo una gran pelota de playa inflable con una expresión bobalicona y sin preocupaciones.""",SpongeBob tenant un grand ballon gonflable en forme de plage avec un air ridicule et libre d'esprit.,"""SpongeBob hält ein großes, paillettenbesetztes Strandball mit einem albernen, freudigen Gesichtsausdruck.""",SpongeBob che tiene una grande palla da spiaggia gonfiabile con un'espressione buffa e libera da preoccupazioni.,"""SpongeBob segurando uma grande bola de praia inflável com uma expressão bobalhona e sem preocupações.""",488
SpongeBob's fingers drum impatiently on the counter while waiting for service.,Los dedos de SpongeBob tocan impacientemente la cuenta mientras espera para ser atendido.,Les doigts de SpongeBob tambourinent impatiemment sur le comptoir en attendant le service.,"SpongeBobs Finger trommeln ungeduldig auf der Theke, während er auf das Personal wartet.",Le dita di SpongeBob tamburellano impazientemente sul bancone mentre attende il servizio.,Os dedos de SpongeBob batem impacientemente na bancada enquanto espera pelo atendimento.,1535
SpongeBob enthusiastically jumping into the air with a giant beach ball in Bikini Bottom.,SpongeBob saltando entusiasmado en el aire con una pelota de playa gigante en Bikini Bottom.,SpongeBob saute avec enthousiasme dans les airs en tenant un ballon de plage géant dans Bikini Bottom.,"SpongeBob springt begeistert in die Luft, während er mit einem riesigen Strandball in Bikini Bottom springt.",SpongeBob salta con entusiasmo nell'aria con una grande palla da spiaggia nel Bikini Bottom.,"O SpongeBob pulando com entusiasmo no ar, segurando uma grande bola de praia, em Bikini Bottom.",3582
"""SpongeBob wearing a pirate hat and holding a treasure map, standing on a deck of a pirate ship in a stormy gray sea.""","""Esponja Bob llevando un sombrero de pirata y sosteniendo un mapa del tesoro, de pie en la cubierta de un barco pirata en un mar gris tormentoso.""","SpongeBob portant un chapeau de pirate et tenant un plan de trésor, debout sur le pont d'un navire pirate dans un océan gris orageux.","""SpongeBob trägt ein Piratenhut und hält eine Karte des Schatzes, steht auf dem Deck eines Piratenschiffs in einem stürmischen grauen Meer.""","""SpongeBob indossa un cappello da pirata e tiene una mappa del tesoro, in piedi su un ponte di una nave da pirati in una tempesta di un mare grigio.""","O SpongeBob usando um chapéu de pirata e segurando um mapa do tesouro, em pé em um convés de uma nau pirata em um mar cinzento tempestuoso.",3811
"""SpongeBob is holding a giant beach ball and a beach volleyball, standing in front of a beach volleyball net.""","SpongeBob está sosteniendo una pelota de playa gigante y una voleibol de playa, parado enfrente de una red de voleibol de playa.","SpongeBob tient un ballon de plage géant et un ballon de volley-ball, debout devant une toile de volley-ball de plage.","SpongeBob hält einen riesigen Strandball und eine Strandvolleybälle, steht vor einem Strandvolleyballnet.","SpongeBob tiene in mano una grande palla da spiaggia e una palla da volley, in piedi davanti a una rete da volley da spiaggia.","O SpongeBob está segurando uma bola de praia gigante e uma vôlei de praia, parado em frente a uma rede de vôlei de praia.",8279
