Original,Spanish,French,German,Italian,Portuguese,Index
"Elon Musk standing in front of a massive solar panel array, with a bright blue sky and fluffy white clouds above.","Elon Musk parado frente a un array de paneles solares de gran tamaño, con un cielo azul brillante y nubes blancas y espumosas arriba.","Elon Musk se tenant devant un vaste ensemble de panneaux solaires, avec un ciel bleu éclatant et des nuages blancs mous au-dessus.","Elon Musk steht vor einem riesigen Solarenergieanlage, mit einem hellblauen Himmel und weichen weißen Wolken darüber.","Elon Musk in piedi davanti a un'enorme array di pannelli solari, con un cielo azzurro luminoso e nuvoloni bianchi soffici sopra.","O Elon Musk parado diante de uma matriz de painéis solares de grande porte, com um céu azul claro e nuvens brancas e fluffies acima.",1824
"Elon Musk, 42, in a casual t-shirt, sitting on a beach with a laptop, surrounded by palm trees and a sunny sky.","Elon Musk, de 42 años, con una camiseta informal, sentado en una playa con una laptop, rodeado de palmeras y un cielo soleado.","Elon Musk, 42 ans, vêtu d'une t-shirt décontractée, assis sur une plage avec un ordinateur portable, entouré de palmiers et d'un ciel ensoleillé.","Elon Musk, 42, in einer lockeren T-Shirt, sitzt auf einer Strand mit einem Laptop, umgeben von Palmen und einem sonnigen Himmel.","Elon Musk, 42 anni, indossa una maglietta informale, seduto sulla spiaggia con un laptop, circondato da palme e un cielo soleggiato.","Elon Musk, 42 anos, vestindo uma camiseta informal, sentado em uma praia com um laptop, cercado por palmeiras e um céu ensolarado.",409
"Elon Musk sitting in a luxurious, high-end car with a city view through the windshield at night.",Elon Musk sentado en un coche de alta gama y lujoso con una vista de la ciudad a través del parabrisas de noche.,Elon Musk assis dans une voiture de luxe haut de gamme avec une vue sur la ville à travers le pare-brise la nuit.,"Elon Musk sitzt in einem luxuriösen, hochpreisigen Auto mit einer Stadtansicht durch die Windschutzscheibe in der Nacht.","Elon Musk seduto in un'auto di lusso, di alta gamma, con una vista sulla città attraverso il parabrezza di notte.","O Elon Musk sentado em um carro de luxo, de alta gama, com uma vista da cidade através do para-brisa à noite.",4506
"A futuristic Elon Musk in a sleek white spacesuit, floating in zero gravity, with a vibrant blue planet visible through the window behind him.","Un Elon Musk futurista en un traje espacial blanco elegante, flotando en gravedad cero, con un planeta azul vibrante visible a través de la ventana detrás de él.","Un Elon Musk futuriste, vêtu d'une combinaison blanche élégante, flottant dans un environnement de gravité zéro, avec une planète bleu vif visible à travers la fenêtre derrière lui.","Ein futuristischer Elon Musk in einem glatten weißen Raumanzug, der in der Schwerelosigkeit schwebt, mit einem lebhaften blauen Planeten, der durch das Fenster hinter ihm sichtbar ist.","Un Elon Musk futuristico in un abito spaziale bianco lucido, galleggiante in condizioni di microgravità, con un pianeta blu vivace visibile attraverso la finestra alle sue spalle.","Um futuro Elon Musk em um capacete branco espetacular, flutuando em zero grau, com um planeta azul vibrante visível pela janela atrás dele.",4012
"Elon Musk dressed in a elegant black evening gown, hosting a high-society dinner party, under a warm golden light.","Elon Musk vestido con un elegante vestido de noche negro, anfitrión de una fiesta de alta sociedad, bajo una cálida luz dorada.","Elon Musk vêtu d'un élégant robe de soirée noire, en tant que hôte d'un dîner de société haut de gamme, sous une lumière dorée chaude.","Elon Musk trug ein elegantes schwarzes Abendkleid und gastierte bei einem gehobenen Abendessen, unter einem warmen goldenen Licht.","Elon Musk vestito con un elegante abito da sera nero, ospite una cena di alta società, sotto una luce dorata calda.","Elon Musk vestido com um elegante vestido de noite preto, hospedando um jantar de alta sociedade, sob uma luz dourada aconchegante.",3657
"Elon Musk standing in front of a massive, futuristic cityscape, envisioning a utopian future in 2075.","Elon Musk de pie ante un paisaje urbano futurista de gran tamaño, imaginando un futuro utópico en 2075.","Elon Musk se tenant debout devant un paysage urbain futuriste de grande envergure, en imaginant un avenir utopique en 2075.","Elon Musk steht vor einer riesigen, futuristischen Stadtlandschaft, sich ein utopisches Zukunftsbild für das Jahr 2075 ausmalend.","Elon Musk in piedi davanti a un paesaggio urbano futuristico gigante, immaginando un futuro utopico nel 2075.","Elon Musk parado em frente a um cenário de cidade futurista gigante, imaginando um futuro utópico em 2075.",2286
"Elon Musk leaning against a sleek, white yacht in a calm, tropical ocean.",Elon Musk apoyado contra un yate elegante y blanco en un océano tropical calmado.,"Elon Musk appuyé contre un yacht élégant, blanc, dans un océan tropical calme.","Elon Musk lehnt sich an einem glatten, weißen Yacht in einem ruhigen, tropischen Ozean.","Elon Musk che si appoggia a un lussuoso, bianco yacht in un oceano tropicale calmo.",Elon Musk apoiado contra um iate elegante e branco em uma oceano tropical calmo.,1679
"Elon Musk sitting at a desk, surrounded by books and papers, wearing a pair of reading glasses, age 38.","Elon Musk sentado en una mesa, rodeado de libros y papeles, llevando un par de gafas de lectura, con 38 años.","Elon Musk assis à un bureau, entouré de livres et de papiers, portant des lunettes de lecture, à l'âge de 38 ans.","Elon Musk sitzt an einem Schreibtisch, umgeben von Büchern und Papieren, trägt eine Brille zum Lesen, 38 Jahre alt.","Elon Musk seduto alla scrivania, circondato da libri e carte, con una paia di occhiali da lettura, 38 anni.","Elon Musk sentado em uma mesa, cercado por livros e papéis, usando um par de óculos de leitura, idade 38.",8935
"Elon Musk, dressed in a simple white shirt, sits at a wooden desk, his 50-year-old hands cradling a stack of worn, leather-bound books, a look of quiet contemplation on his face.","Elon Musk, vestido con una camisa blanca sencilla, se sienta a una mesa de madera, sus manos de 50 años apoyadas en un montón de libros de cuero desgastado, una mirada de contemplación silenciosa en su rostro.","Elon Musk, vêtu d'une chemise blanche simple, est assis à une table en bois, ses mains de 50 ans tenant un tas de livres reliés en cuir usagés, un regard de contemplation calme sur son visage.","Elon Musk, in einem einfachen weißen Hemd gekleidet, sitzt an einem holzverkleideten Schreibtisch, seine 50-jährigen Hände umschließen einen Stapel abgetragener, in Leder gebundener Bücher, ein Ausdruck der Ruhe und des Nachdenkens liegt auf seinem Gesicht.","Elon Musk, vestito con una semplice camicia bianca, si siede a un tavolo di legno, le sue mani cinquantenni che sorreggono un mucchio di libri legati in pelle, consumati, un'espressione di contemplazione silenziosa sul suo volto.","Elon Musk, vestido com uma camisa branca simples, senta-se a uma mesa de madeira, as suas mãos de 50 anos a envolverem um montão de livros encadernados em couro desgastados, uma expressão de contemplação silenciosa no seu rosto.",1424
"Elon Musk in a tailored black tuxedo, surrounded by a swarm of drones in a luxurious high-tech laboratory.","Elon Musk, vestido con un tuxedo negro a medida, rodeado de una nube de drones en un laboratorio de alta tecnología lujoso.","Elon Musk, vêtu d'un smoking noir sur mesure, entouré d'une nuée de drones dans un laboratoire de haute technologie luxueux.","Elon Musk in einem schwarz gestrickten Smoking, umgeben von einer Schwarm von Drohnen in einem luxuriösen Hochtechnik-Labor.","Elon Musk in un tuxedo nero ad misura, circondato da una schiera di droni in un laboratorio di alta tecnologia lussuoso.","Elon Musk em um terno preto de corte fechado, cercado por uma enxame de drones em um laboratório de alta tecnologia luxuoso.",9674
