Original,Spanish,French,German,Italian,Portuguese,Index
"Lady Gaga sitting at a piano, dressed in a elegant, long-sleeved white gown with a pearl necklace.","Lady Gaga sentada a un piano, vestida con un elegante vestido blanco de mangas largas y un collar de perlas.","Lady Gaga assise au piano, vêtue d'un long manteau blanc élégant à manches longues avec une chaîne de perles.","Lady Gaga sitzt am Piano, in einem eleganten, langärmeligen weißen Kleid mit einem Perlenhalsband.","Lady Gaga seduta al pianoforte, vestita con un elegante abito da sera a manica lunga bianco con un collare di perle.","Lady Gaga sentada à um piano, vestida com um elegante vestido branco longo com mangas com um colar de pérola.",1824
"Lady Gaga standing in front of a bright pink background, with a confident expression and a sparkling silver costume, set against a soft focus background of a city street.","Lady Gaga posando frente a un fondo brillante rosa, con una expresión confiada y un traje plateado centelleante, frente a un fondo de foco suave de una calle urbana.","Lady Gaga debout devant un fond rose vif, avec un expression confiante et un costume argenté étincelant, placé contre un arrière-plan flou d'une rue urbaine.","Lady Gaga steht vor einem hellen rosa Hintergrund, mit einem selbstsicheren Ausdruck und einem funkelnden silbernen Kostüm, gegenüber einem weichen Fokus-Hintergrund einer Stadtstraße.","Lady Gaga in piedi di fronte a un fondo rosa brillante, con un'espressione di fiducia e un costume d'argento scintillante, contro un fondo sfocato di una strada cittadina.","Lady Gaga de pé em frente a um fundo rosa brilhante, com uma expressão confiante e um vestido prateado brilhante, contra um fundo de foco suave de uma rua da cidade.",409
"Lady Gaga's figure is cast in a warm, golden glow, her face a picture of serenity as she sits on a beach at sunset.","La figura de Lady Gaga está bañada en una cálida y dorada luz, su rostro es una imagen de serenidad mientras se sienta en una playa al atardecer.","Le corps de Lady Gaga est baigné d'une chaleur dorée, son visage est une image de sérénité alors qu'elle s'assoit sur une plage au moment du coucher du soleil.","Lady Gagas Figur wird in einem warmen, goldenen Licht dargestellt, ihr Gesicht ist ein Bild der Ruhe, während sie an einem Strand bei Sonnenuntergang sitzt.","La figura di Lady Gaga è avvolta da una luce calda, dorata, il suo volto è un'immagine di serenità mentre si siede sulla spiaggia al tramonto.","A figura da Lady Gaga está envolvida em uma luz cálida e dourada, seu rosto uma imagem de serenidade enquanto ela se senta em uma praia ao entardecer.",4506
"A colorful illustration of Lady Gaga, surrounded by confetti and balloons in shades of pink and purple.","Una ilustración colorida de Lady Gaga, rodeada de confeti y globos en tonos de rosa y morado.","Une illustration colorée de Lady Gaga, entourée de confettis et de ballons aux teintes de rose et de pourpre.","Ein farbenfrohes Illustration von Lady Gaga, umgeben von Konfetti und Luftballons in Schatten von Rosa und Lila.","Una illustrazione colorata di Lady Gaga, circondata da confetti e palloncini in tonalità di rosa e viola.","Uma ilustração colorida da Lady Gaga, rodeada de confete e balões em tons de rosa e lilás.",4012
"Lady Gaga stands in a beautiful, sun-drenched meadow surrounded by wildflowers and wearing a flowing, bohemian dress.","Lady Gaga se encuentra en un prado hermoso y bañado por el sol, rodeada de flores silvestres y viste un vestido bohemio y flotante.",Lady Gaga se tient debout dans une belle prairie ensoleillée entourée de fleurs sauvages et vêtue d'une robe bohemienne flottante.,"Lady Gaga steht in einem wunderschönen, sonnendurchfluteten Grasland umgeben von Wildblumen und trägt ein fließendes, bohemienartiges Kleid.","Lady Gaga si trova in un prato bellissimo, illuminato dal sole, circondato da fiori selvatici e indossa un abito da moda bohemien che fluttua.","Lady Gaga se encontra em uma linda, meia-dia meada cercada por flores silvestres e vestindo um vestido boêmio, flutuante.",3657
"Lady Gaga standing on a rocky, mountain peak, wearing a flowing, hooded cloak with a pair of statement, crystal-encrusted boots.","Lady Gaga de pie en una cima rocosa de una montaña, vestida con un manto suelto y acolchado con un par de botas de cristal incrustado como statement.","Lady Gaga debout sur une crête rocheuse, sommité de montagne, vêtue d'une cape en flottant, capuchonnée avec des bottes en cristal, ornées d'un style affirmé.","Lady Gaga steht auf einem felsigen, bergigen Gipfel, trägt ein fließendes, mit einem Kapuzenmantel bekleidetes Outfit mit einer Paar Aussagekräftige, mit Kristallen besetzte Stiefel.","Lady Gaga in piedi su una cima rocciosa di una montagna, indossa un mantello fluttuante con cappuccio con un paio di stivali con cristalli incrostati da statement.","Lady Gaga de pé em uma ponta rochosa, de uma montanha, vestindo um manto flutuante, capuzado, com um par de botas de declaração, incrustadas de cristal.",2286
"Lady Gaga standing on a rooftop at sunset, surrounded by city lights and a faint silhouette of the Eiffel Tower in the distance.","Lady Gaga de pie en un tejado al atardecer, rodeada de luces de la ciudad y una silueta tenue de la Torre Eiffel en la distancia.","Lady Gaga debout sur le toit à la tombée du soleil, entourée des lumières de la ville et d'une silhouette fuyante de la Tour Eiffel à l'horizon.","Lady Gaga steht auf einem Dach bei Sonnenuntergang, umgeben von Lichtern der Stadt und einem schwachen Silhouette der Eiffelturm im Hintergrund.","Lady Gaga in piedi su un tetto al tramonto, circondata dalle luci della città e da una vaga silhouette della Torre Eiffel in lontananza.","Lady Gaga de pé em um telhado ao pôr do sol, cercada por luzes da cidade e uma silhueta tênue da Torre Eiffel no horizonte.",1679
"Lady Gaga standing in front of a massive, ancient stone door, a mystical aura surrounding her.","Lady Gaga de pie frente a una gran puerta de piedra antigua, un aura mística rodeándola.","Lady Gaga se tenant devant une porte de pierre massive et ancienne, un aura mystique l'entourant.","Lady Gaga steht vor einer riesigen, antiken Steinwand, eine mystische Aura umgibt sie.","Lady Gaga in piedi davanti a una porta di pietra gigante e antica, un'aura mistica che la circonda.","Lady Gaga de pé em frente a uma imensa porta de pedra antiga, um aura mística a rodeia.",8935
"Lady Gaga walking through a crowded, bustling market in a foreign city at night with neon lights and street food vendors.",Lady Gaga caminando a través de un mercado concurrido y animado en una ciudad extranjera por la noche con luces neon y vendedores de comida callejera.,Lady Gaga marchant dans une marché encombré et animé d'une ville étrangère la nuit avec des lumières néon et des vendeurs de nourriture de rue.,"Lady Gaga schlendert durch eine überfüllte, geschäftige Markthalle in einer fremden Stadt in der Nacht mit Neonlichtern und Straßenverkäufern von Straßenlebensmitteln.","Lady Gaga che passeggia per un mercato affollato e animato in una città straniera di notte, con luci neon e venditori di strada.","Lady Gaga passando por uma feira lotada e movimentada em uma cidade estrangeira à noite, com luzes neon e vendedores de comida de rua.",1424
"Lady Gaga sporting a bold and bright yellow raincoat, splashing in a puddle of water on a rainy city street.","Lady Gaga luciendo un impermeable amarillo brillante y audaz, saltando en una charca de agua en una calle urbana lluviosa.","Lady Gaga portant un imperméable jaune vif et audacieux, en faisant des vagues dans une flaque d'eau sur une rue urbaine pluvieuse.","Lady Gaga trägt ein auffälliges und leuchtend gelbes Regenmantel, springt in einem Teich aus Wasser auf einer regnerischen Stadtstraße.","Lady Gaga indossa un cappotto giallo acceso e brillante, che si schizza in una pozzanghera d'acqua su una via cittadina bagnata dalla pioggia.","A Lady Gaga vestindo um casaco amarelo vibrante e ousado, pulando em uma poça de água em uma rua urbana chuvosa.",9674
