Original,Spanish,French,German,Italian,Portuguese,Index
"Pikachu running through a field of bright yellow flowers, its tail streaming behind.","Pikachu corriendo por un campo de flores amarillas brillantes, su cola flotando detrás.","Pikachu courant à travers un champ de fleurs jaunes vives, sa queue qui flotte derrière.","Ein Pikachu rennt durch einen Feld voller leuchtender gelber Blumen, dessen Schwanz hinter ihm weht.","Pikachu che corre attraverso un campo di fiori gialli brillanti, la sua coda che si stende dietro.","Pikachu correndo através de um campo de flores amarelas brilhantes, sua cauda afluindo atrás.",1824
Pikachu wearing a superhero cape and standing on a city skyscraper rooftop.,Pikachu con una capa de superhéroe y parado en la azotea de un rascacielos en el centro de la ciudad.,Un Pikachu portant un manteau de super-héros et debout sur le toit d'un gratte-ciel en plein cœur de la ville.,"Ein Pikachu, das ein Superheldencape trägt und auf dem Dach eines Hochhauses einer Stadt steht.",Pikachu con un cappuccio da supereroe e in piedi su un tetto di grattacielo in una città.,Um Pikachu vestindo uma capa de super-herói e parado no telhado de um arranha-céu de uma cidade.,409
A Pikachu with a miniature backpack full of Poké Balls and a utility belt.,Un Pikachu con un mochila miniatura llena de Poké Balls y una cinturón de herramientas.,Un Pikachu portant un petit sac à dos miniature rempli de Poké Balls et une ceinture de utilité.,Ein Pikachu mit einem Mini-Rucksack voller Poké-Bälle und einem Werkzeuggürtel.,Un Pikachu con un zainetto miniaturizzato pieno di Poké Ball e una cintura di utilizzo.,Um Pikachu com uma mochila de miniatura cheia de Bolas Poké e uma cinturão de utilidade.,4506
"Pikachu leaps over a stream, its body glowing with a soft, electric light as it lands on the far side.","Pikachu salta sobre un arroyo, su cuerpo brillando con una luz suave y eléctrica mientras aterriza en la orilla opuesta.","Pikachu saute au-dessus d'une rivière, son corps brillant d'une lumière électrique douce tandis qu'il atterrit sur l'autre rive.","Pikachu springt über einen Bach, sein Körper leuchtet mit einem weichen, elektrischen Licht, als es auf der gegenüberliegenden Seite landet.","Pikachu salta oltre un ruscello, il suo corpo emette una luce elettrica morbida mentre atterra sul lato opposto.","O Pikachu salta sobre um riacho, seu corpo brilhando com uma luz elétrica suave enquanto pousa na margem oposta.",4012
"Pikachu's happy expression, surrounded by a bouquet of bright, colorful balloons.","La expresión feliz de Pikachu, rodeado de una corona de globos brillantes y de colores.","L'expression heureuse de Pikachu, entourée d'une bouquet de ballons brillants et colorés.","Pikachu's glückliche Miene, umgeben von einer Blumenstrauß aus hellen, farbenfrohen Luftballons.","L'espressione felice di Pikachu, circondata da un mazzo di palloncini brillanti e colorati.","A expressão feliz de Pikachu, cercada por uma bouquet de balões brilhantes e coloridos.",3657
"A Pikachu with a mischievous glint in its eye, surrounded by a halo of bright blue sparks.","Un Pikachu con un destello travieso en su ojo, rodeado de un halo de chispas brillantes azules.","Un Pikachu aux yeux pétillants de malice, entouré d'un halo d'étincelles bleues vives.","Ein Pikachu mit einem frechen Funkeln in seinem Auge, umgeben von einem Halo aus hellblauen Funken.","Un Pikachu con un lampo malizioso negli occhi, circondato da un alone di scintille blu brillanti.","Um Pikachu com um brilho malicioso em seu olho, cercado por um halo de faíscas azuis brilhantes.",2286
"Pikachu curled up in a ball, its bright yellow fur glowing warmly in the sunlight.","Pikachu se arrolló en una pelota, su pelaje amarillo brillante brillando cálidamente bajo la luz del sol.","Pikachu s'est enroulé en boule, sa fourrure jaune vif brillant doucement dans le soleil.","Pikachu kuschelte sich zu einem Ball zusammen, seine hellgelbe Fell glänzte warm im Sonnenlicht.","Pikachu si è arrotolato a palla, la sua pelliccia gialla brillante che emetteva un calore tiepido alla luce del sole.","O Pikachu enroscou-se em uma bola, sua pelagem amarela brilhante resplandecendo aquecida ao sol.",1679
"A Pikachu in a chef's hat, holding a frying pan and standing in front of a kitchen stove.","Un Pikachu con un sombrero de chef, sosteniendo una sartén y parado frente a una cocina de gas.","Un Pikachu coiffé d'un chapeau de chef, tenant une poêle et debout devant une cuisinière.","Ein Pikachu in einem Kochmützen, das einen Pfannenhalter in der Hand hält und vor einem Herd steht.","Un Pikachu con un cappello da cuoco, che tiene una padella e si trova di fronte a un fornello da cucina.","Um Pikachu com um chapéu de cozinheiro, segurando uma frigideira e parado em frente a uma churrasqueira de cozinha.",8935
"Pikachu perched on a worn, wooden bench, wearing a faded blue baseball cap.","Pikachu se sentó en un banco desgastado de madera, llevando una gorra de béisbol azul descolorida.","Pikachu était assis sur un banc en bois usé, portant un chapeau de base-ball bleu délavé.","Pikachu saß auf einem abgenutzten, holzernen Sitzplatz, trug ein abgefärbtes blaues Baseballcap.","Pikachu si è posizionato su un vecchio banco di legno, indossando un cappello da baseball azzurro sbiadito.","O Pikachu sentou-se em uma banca de madeira desgastada, vestindo um boné de beisebol azul desbotado.",1424
"A Pikachu runs through a field of tall green grass, its bright yellow fur shining.","Un Pikachu corre por un campo de hierba verde alta, su pelaje amarillo brillante reluciendo.","Un Pikachu court à travers un champ de haies vertes élevées, sa fourrure jaune éclatante brillant.","Ein Pikachu rennt durch einen Feld mit hohem grünem Gras, seine leuchtend gelbe Fellfarbe glänzt.","Un Pikachu corre attraverso un campo di alta erba verde, la sua pelliccia gialla brillante scintilla.","Um Pikachu corre por um campo de grama verde alta, sua pelagem amarela brilhante.",9674
