noun,similarity
marge,0.83
minion,0.799
donald_duck,0.7983
someone,0.7915
trump,0.784
simpson,0.7837
hitler,0.7812
mickey_mouse,0.7803
jesus,0.7803
daddy,0.7793
dad,0.779
bart,0.7773
hymie,0.777
mickey,0.7764
man,0.7764
springfield,0.7744
donut,0.7734
herr,0.773
walter,0.7725
heisenberg,0.7725
christ,0.772
dimer,0.77
somebody,0.7695
santa,0.7686
snoop,0.7676
pope,0.7676
pontifex,0.7666
missus,0.766
sumpter,0.766
homeboy,0.766
batman,0.765
stepfather,0.765
grandpa,0.765
self,0.765
hick,0.7646
clown,0.764
mom,0.7637
father-figure,0.7637
pig,0.763
honeybee,0.7627
demetrius,0.7627
lord,0.7627
uncle,0.762
jew,0.7617
big_h,0.761
demon,0.761
fitter,0.761
husband,0.7607
brother,0.7607
idiot,0.7607
lemon,0.7607
dude,0.7607
scot,0.7607
tyler,0.7603
goof,0.7603
personage,0.76
father,0.76
hulk,0.76
forefather,0.7593
garfield,0.7593
person,0.7593
bee,0.759
clews,0.759
fatty,0.759
buddha,0.759
adolf_hitler,0.759
doggie,0.759
chump,0.759
fart,0.759
yuppie,0.7583
sir,0.7583
doggy,0.7583
hus,0.7583
lasher,0.758
santa_claus,0.758
bear,0.758
hame,0.758
honey,0.758
hassel,0.7573
homegirl,0.7573
meeter,0.7573
gleet,0.7573
marc,0.7573
pineapple,0.757
user,0.757
unknown,0.7563
gem,0.756
biggin,0.756
good,0.756
angel,0.756
cleg,0.756
grandfather,0.756
edmond_malone,0.7554
simple,0.7554
dr.,0.755
hod,0.755
spic,0.755
chinaman,0.755
president,0.755
wife,0.755
banana,0.755
doctor,0.755
hyson,0.7544
patrick,0.7544
sharer,0.7544
twerp,0.7544
middle-aged_man,0.7544
king,0.7544
dumbass,0.7544
grandma,0.7544
very_important_person,0.7544
donkey,0.7544
hopkinson,0.7544
lapp,0.7544
symons,0.7544
theist,0.754
ex-wife,0.754
fat_person,0.754
househusband,0.754
whore,0.754
artemus_ward,0.754
neighbor,0.754
softy,0.754
stepson,0.754
ogre,0.754
frazer,0.754
sergeant,0.7534
great-uncle,0.7534
bacon,0.7534
oaf,0.7534
elvis,0.7534
christian,0.7534
mocker,0.7534
slops,0.7534
geordie,0.7534
swill,0.7534
human,0.7534
sponge,0.753
subject,0.753
wimp,0.753
bey,0.753
phiz,0.753
inge,0.753
loser,0.753
shirer,0.753
mommy,0.753
housewife,0.753
bill_clinton,0.753
fuzz,0.753
gasman,0.7524
poop,0.7524
amateur,0.7524
retard,0.7524
hop,0.7524
mrs._simpson,0.7524
specific,0.7524
james_francis_thorpe,0.752
hansom,0.752
apple,0.752
binger,0.752
houseguest,0.752
somewhere,0.752
friend,0.752
adman,0.752
pisser,0.7515
homel,0.7515
cool,0.7515
hog,0.7515
edward_james_hughes,0.7515
bladder_sphincter,0.7515
stupid_person,0.7515
houseman,0.7515
roomy,0.7515
spouse,0.751
steffens,0.751
demander,0.751
humor,0.751
wallace_hume_carothers,0.751
sir_james_young_simpson,0.751
goody,0.751
grandmother,0.751
mat,0.751
deceased_person,0.751
granddad,0.751
hem,0.7505
fiance,0.7505
drosky,0.7505
great,0.7505
thwarter,0.7505
lozier,0.7505
relative,0.75
termer,0.75
mainer,0.75
honeymooner,0.75
haber,0.75
neurasthenic,0.75
submitter,0.75
heyse,0.75
nazi,0.75
lovely,0.7495
homo,0.7495
ronald_reagan,0.7495
john_adams,0.7495
hippy,0.7495
famous_person,0.7495
teddy_bear,0.7495
duck,0.7495
honey_bear,0.7495
idol,0.7495
communist,0.7495
guy,0.749
anther,0.749
simpleton,0.749
derris,0.749
ex-husband,0.749
brother-in-law,0.749
mart,0.749
papa,0.749
aper,0.7485
officer,0.7485
offerer,0.7485
debtor,0.7485
cive,0.7485
good_person,0.7485
gean,0.7485
boss,0.7485
timothy_francis_leary,0.7485
spenser,0.7485
piggy,0.7485
shona,0.7485
thomas_hastings,0.7485
thomas_bradley,0.7485
homosexual,0.7485
holy_person,0.748
brogan,0.748
mam,0.748
momma,0.748
huss,0.748
human_head,0.748
proponent,0.748
favorite,0.7476
hubby,0.7476
sweet,0.7476
leo,0.7476
nick,0.7476
wester,0.7476
agee,0.7476
edmund_malone,0.7476
swaggerer,0.7476
purser,0.7476
stopes,0.7476
gerhard_gerhards,0.7476
father_of_the_church,0.7476
ham,0.7476
american,0.7476
simoniz,0.7476
withe,0.7476
monkey,0.747
foodstuff,0.747
businessman,0.747
personality,0.747
glenn_miller,0.747
nadir,0.747
peter,0.747
hot_dog,0.747
simon,0.747
nestor,0.747
unusual_person,0.747
easterner,0.747
relative-in-law,0.747
kiley,0.747
karl_marx,0.747
george_bush,0.7466
toter,0.7466
rotter,0.7466
moll,0.7466
lug,0.7466
alfred_noyes,0.7466
big_leaguer,0.7466
policeman,0.7466
stepmother,0.7466
costumer,0.7466
namesake,0.7466
husky,0.7466
shute,0.7466
thomas_hodgkin,0.7466
john_huss,0.7466
great_bear,0.746
mathias,0.746
simeon,0.746
dacron,0.746
brae,0.746
hakim,0.746
homyel,0.746
tiger,0.746
shipper,0.746
buhl,0.7456
favourite,0.7456
old_man,0.7456
todd,0.7456
francois_jacob,0.7456
stammerer,0.7456
hero,0.7456
charles_martin_hall,0.7456
mary,0.7456
joseph_stalin,0.7456
bozo,0.7456
evert,0.7456
francis_hopkinson,0.7456
best,0.7456
maigre,0.7456
fat,0.745
jimmy_conors,0.745
ney,0.745
stupid,0.745
putin,0.745
fetter,0.745
emperor,0.745
prude,0.745
face,0.745
detective,0.745
egocentric,0.7446
herm,0.7446
bee_killer,0.7446
suer,0.7446
miss,0.7446
dag,0.7446
lame,0.7446
chum,0.7446
doge,0.7446
deep,0.7446
tatter,0.7446
dogy,0.7446
holy_man,0.7446
disprover,0.7446
allgood,0.744
rodent,0.744
withers,0.744
stepdaughter,0.744
edgar_guest,0.744
nicholas,0.744
gator,0.744
hipster,0.744
parishioner,0.744
weirdo,0.744
paton,0.7437
grahame,0.7437
amber,0.7437
karl_von_frisch,0.7437
dimwit,0.7437
satirist,0.7437
sweetie,0.7437
shnorrer,0.7437
beadsman,0.7437
passerby,0.7437
jeffers,0.7437
mother,0.7437
hals,0.7437
nates,0.7437
day,0.7437
plater,0.7437
inspiration,0.7437
graver,0.7437
douglas_pine,0.7437
president_john_adams,0.7437
delorme,0.7437
frump,0.7437
fellow,0.7437
impostor,0.7437
molter,0.7437
alcoholic,0.7437
super,0.743
