noun,similarity
trump,0.8296
musk,0.8237
someone,0.823
george_bush,0.821
taylor,0.8203
prince,0.8193
mat,0.8193
reagan,0.819
adam,0.8174
elvis,0.817
daddy,0.8145
cool,0.814
david,0.814
madonna,0.8135
ridge,0.813
specific,0.8125
anthony,0.8115
jensen,0.8115
louis,0.8115
benedict,0.8105
michael_jackson,0.8105
ronald_reagan,0.8105
marc,0.81
chad,0.809
john,0.809
christian,0.809
self,0.809
angel,0.8086
jonathan,0.8086
man,0.808
bill_clinton,0.808
famous_person,0.808
andrew,0.808
dude,0.808
cleg,0.8076
tomalley,0.8076
tom-tom,0.8076
hansom,0.807
todd,0.807
cive,0.807
paul,0.807
pope,0.8066
friend,0.8066
tony_blair,0.8066
husband,0.806
subject,0.806
personage,0.806
jacob,0.8057
pussly,0.8057
jimmy,0.8057
crupper,0.8057
jesus,0.8057
cruise_missile,0.8057
tati,0.805
nick,0.805
nates,0.805
thomas_bradley,0.8047
dad,0.8047
ex-husband,0.8047
guy,0.804
president,0.804
cruse,0.804
xavier,0.804
christ,0.804
brother,0.8037
cruise_control,0.8037
good,0.8037
john_lennon,0.8037
hitler,0.8037
bush,0.8037
pontifex,0.8037
jfk,0.803
kelt,0.803
jacobi,0.803
putin,0.8027
aaron,0.8027
ant,0.8027
thomas_nelson_page,0.8027
miss,0.8022
hillary,0.8022
elvis_presley,0.8022
peter,0.802
johnny,0.802
sam,0.8013
kiley,0.8013
lasher,0.8013
amir,0.8013
shim,0.8013
matthew,0.801
shawn,0.801
best,0.801
swill,0.8003
sir,0.8003
lovely,0.8003
tesla,0.8003
paton,0.8
spall,0.8
bowie,0.7993
celebrity,0.7993
personality,0.7993
jew,0.7993
unusual_person,0.799
nast,0.799
somebody,0.799
relative,0.799
noah,0.7983
brother-in-law,0.798
middle-aged_man,0.798
nadir,0.798
creature,0.798
favourite,0.798
demon,0.798
jet,0.7974
superman,0.7974
missus,0.7974
nicholas,0.7974
adolf_hitler,0.7974
leo,0.7974
relative-in-law,0.7974
scot,0.7974
favorite,0.797
ex-wife,0.797
snake,0.797
very_important_person,0.797
cam,0.797
person,0.797
fellow,0.7964
passerby,0.7964
lord,0.7964
frazer,0.7964
mam,0.7964
non-jew,0.7964
timothy_francis_leary,0.7964
purser,0.796
hassel,0.796
tom_hanks,0.796
marti,0.796
uncle,0.7954
cousin,0.7954
timothy,0.7954
toter,0.7954
pall,0.7954
cause,0.795
snoop,0.795
beloved,0.795
demetrius,0.795
jack,0.795
idol,0.795
paul_mccartney,0.795
crud,0.7944
thomas_crawford,0.7944
shipper,0.7944
great,0.7944
jonson,0.7944
sweet,0.7944
garret,0.7944
influential_person,0.7944
goose,0.7944
ted,0.794
james,0.794
great-uncle,0.794
unknown,0.794
george_w._bush,0.794
kid,0.794
bull,0.794
ben,0.794
allgood,0.794
heartthrob,0.794
lover,0.7935
simon,0.7935
actress,0.7935
delicious,0.7935
somewhere,0.7935
gem,0.7935
bob_dylan,0.7935
robert,0.7935
uncle_tom,0.7935
bond,0.793
brady,0.793
chinaman,0.793
uut,0.793
yuppie,0.793
shona,0.793
kelly,0.793
comedian,0.793
chance,0.7925
father-figure,0.7925
mom,0.7925
crosse,0.7925
tole,0.7925
inge,0.792
cay,0.792
evert,0.792
stupe,0.792
homosexual,0.792
goody,0.792
actor,0.792
deceased_person,0.792
nuisance,0.7915
douche,0.7915
good_person,0.7915
clews,0.7915
tory,0.7915
graver,0.7915
wince,0.7915
son,0.7915
tsine,0.7915
dr.,0.7915
thomas_j._jackson,0.7915
lapp,0.7915
excuse,0.7915
jonah,0.791
austen,0.791
day,0.791
papa,0.791
homeboy,0.791
mart,0.791
object,0.791
bryan,0.7905
joseph_stalin,0.7905
loved_one,0.7905
sweetie,0.7905
sherlock,0.7905
dec,0.7905
xxx,0.7905
gleet,0.7905
ham_actor,0.7905
bennet,0.7905
cager,0.7905
chump,0.7905
secernment,0.7905
tamm,0.7905
mary,0.79
tatum,0.79
fiancee,0.79
hymie,0.79
brogan,0.79
nad,0.79
rupert_murdoch,0.79
offerer,0.7896
boy,0.7896
proponent,0.7896
tuna,0.7896
bug,0.7896
peanut,0.7896
tenter,0.7896
hilary_clinton,0.7896
man_jack,0.789
trace,0.789
dubya,0.789
christopher,0.789
gage,0.789
chilling,0.789
simple,0.789
jarrell,0.789
austin_friar,0.789
super,0.789
hero,0.789
tai,0.789
edward,0.789
benjamin,0.789
kitty,0.7886
spic,0.7886
hick,0.7886
hubel,0.7886
right,0.7886
vas,0.7886
agee,0.7886
moment,0.7886
ray,0.7886
batman,0.7886
father_of_the_church,0.7886
termer,0.788
tanner,0.788
sergeant,0.788
suspect,0.788
suer,0.788
ciardi,0.788
stephen_hawking,0.788
king,0.788
aper,0.788
officer,0.788
apple,0.788
patrick,0.788
mike,0.788
socialist,0.788
homegirl,0.788
cavy,0.7876
kine,0.7876
presley,0.7876
louis_x,0.7876
landman,0.7876
juda,0.7876
utterer,0.7876
nazi,0.7876
tyler,0.7876
fellow_member,0.7876
prude,0.7876
drake,0.7876
heterosexual_person,0.7876
mathias,0.7876
tare,0.7876
fogey,0.7876
inspiration,0.7876
withe,0.787
tine,0.787
roomy,0.787
lame,0.787
critter,0.787
v.p.,0.787
rip,0.787
cline,0.787
mel_gibson,0.787
transport,0.787
doctor,0.787
gean,0.787
doggy,0.787
elam,0.7866
clinton,0.7866
antony,0.7866
bey,0.7866
life,0.7866
associate,0.7866
hod,0.7866
owen,0.7866
lally,0.7866
bill_gates,0.7866
deceased,0.7866
hubby,0.7866
incrustation,0.786
dragger,0.786
bonete,0.786
wade,0.786
buhl,0.786
madam,0.786
arguer,0.786
mommy,0.786
james_francis_thorpe,0.786
corespondent,0.786
throwback,0.786
movie_actor,0.786
schlock,0.786
sum,0.786
james_iv,0.786
fatty,0.786
wuss,0.786
agent,0.7856
fake,0.7856
plowman,0.7856
benjamin_bush,0.7856
political_leader,0.7856
teen,0.7856
attestant,0.7856
nasion,0.7856
nathan_hale,0.7856
neurasthenic,0.7856
curtis,0.7856
father,0.7856
leftist,0.7856
dean,0.785
towner,0.785
derris,0.785
content,0.785
steffens,0.785
houseguest,0.785
slick,0.785
course,0.785
out-and-outer,0.785
artemus_ward,0.785
rowel,0.785
archil,0.785
neighbor,0.785
alien,0.785
mccartney,0.785
ramus,0.785
clay,0.785
geordie,0.7847
inh,0.7847
fitter,0.7847
frenchman,0.7847
tater,0.7847
spider,0.7847
swaggerer,0.7847
allantois,0.7847
relaxant,0.7847
seism,0.7847
fiance,0.7847
chyle,0.7847
deb,0.7847
mocker,0.7847
billy,0.7847
techie,0.7847
play-actor,0.7847
mayer,0.7847
romeo,0.7847
ex-boyfriend,0.7847
test,0.7847
walter,0.784
philip,0.784
wife,0.784
drosky,0.784
frank,0.784
men's,0.784
will_hays,0.784
sial,0.784
stepfather,0.784
tawney,0.784
technical,0.784
pistol,0.784
martin,0.784
mine,0.784
thomas_jonathan_jackson,0.784
shem,0.784
cadger,0.784
style,0.784
casquet,0.784
destiny,0.784
whoreson,0.784
mark,0.7837
consultant,0.7837
tody,0.7837
schmo,0.7837
jimmy_conors,0.7837
romp,0.7837
currier,0.7837
greaseball,0.7837
jewison,0.7837
communist,0.7837
fauces,0.7837
grahame,0.7837
boss,0.7837
annualry,0.7837
angelique,0.7837
deep,0.7837
spouse,0.7837
spenser,0.7837
daniel,0.783
purace,0.783
babinski,0.783
smalley,0.783
john_james_osborne,0.783
scurf,0.783
hyson,0.783
clon,0.783
answerer,0.783
sunday,0.783
jean,0.783
baby,0.783
fice,0.783
frisch,0.783
vamp,0.783
balker,0.783
toucher,0.7827
gay_man,0.7827
terry,0.7827
tin,0.7827
coolness,0.7827
brad,0.7827
col,0.7827
hawser,0.7827
namesake,0.7827
descendent,0.7827
classic,0.7827
face,0.7827
artiste,0.7827
child,0.782
nit,0.782
wayne,0.782
unfortunate,0.782
ruddle,0.782
columnist,0.782
jag,0.782
thomas_jackson,0.782
gay,0.782
cat,0.782
craigie,0.782
putz,0.782
parishioner,0.782
john_huss,0.782
milcher,0.782
misogynist,0.782
iron_man,0.782
tinder,0.782
feature,0.782
charles,0.782
jakes,0.782
alb,0.7817
unpleasant_person,0.7817
max,0.7817
humor,0.7817
image,0.7817
adman,0.7817
carl_david_anderson,0.7817
reeve,0.7817
chase,0.7817
goer,0.7817
tindale,0.7817
retard,0.7817
farce,0.7817
elijah,0.7817
mind,0.7817
cither,0.7817
planer,0.7817
arnold,0.7812
totterer,0.7812
mispickel,0.7812
withers,0.7812
molter,0.7812
joseph,0.7812
stopes,0.7812
user,0.7812
kirsch,0.7812
predatory_animal,0.7812
girlfriend,0.7812
schoolmate,0.7812
cooper,0.7812
jet_plane,0.7812
french_canadian,0.7812
beanie,0.7812
stud,0.7812
douche_bag,0.7812
miscreant,0.781
hakim,0.781
aunt,0.781
scuba,0.781
olive,0.781
hudson,0.781
stepson,0.781
mush,0.781
samuel,0.781
cunner,0.781
better,0.781
benjamin_peirce,0.781
ceo,0.781
babe,0.781
rapper,0.781
cropper,0.781
tabis,0.781
president_george_w._bush,0.781
hardy,0.781
anther,0.781
lout,0.7803
terence,0.7803
mitt,0.7803
john_deere,0.7803
pet,0.7803
john_tyler,0.7803
devil,0.7803
maigre,0.7803
prof,0.7803
doc,0.7803
tiger,0.7803
bruce,0.7803
depicted_object,0.7803
governor,0.7803
haw,0.7803
drew,0.7803
crazy,0.7803
kennan,0.7803
galen,0.7803
seidel,0.7803
positive,0.7803
curet,0.7803
johns,0.7803
important_person,0.7803
herr,0.7803
matai,0.78
diva,0.78
dix,0.78
future,0.78
comer,0.78
mon,0.78
mann,0.78
way,0.78
tatter,0.78
aril,0.78
nash,0.78
slops,0.78
heyse,0.78
ex-spouse,0.78
john_ciardi,0.78
encrustation,0.78
brier,0.78
submitter,0.78
sissy,0.78
speed,0.78
mickey,0.78
henry_louis_aaron,0.78
nestor,0.78
younker,0.78
male_person,0.78
greco,0.7793
cornel,0.7793
true_bug,0.7793
fetter,0.7793
requester,0.7793
senator,0.7793
oliver,0.7793
huss,0.7793
charity,0.7793
mama,0.7793
swag,0.7793
finnan,0.7793
chill,0.7793
homo,0.7793
nicad,0.7793
fuzz,0.7793
ginger,0.7793
manson,0.7793
lozier,0.7793
erik_weisz,0.7793
compeer,0.7793
taw,0.7793
photographic_material,0.7793
bill,0.7793
szilard,0.7793
veggie,0.7793
jassid,0.7793
pop,0.7793
board_member,0.7793
lug,0.7793
herb,0.7793
best_friend,0.7793
funk,0.779
chammy,0.779
george,0.779
john_adams,0.779
shute,0.779
swift,0.779
rodent,0.779
brinton,0.779
briton,0.779
dylan,0.779
pauli,0.779
sumach,0.779
queer,0.779
grandma,0.779
fucking,0.779
bondman,0.779
tool_bag,0.779
coordinator,0.779
seth,0.779
deacon,0.779
pix,0.779
john_florio,0.779
calean,0.779
verner,0.779
scuffle_hoe,0.779
bloke,0.779
trudger,0.779
false_vampire,0.779
grandfather,0.779
weill,0.779
crisp,0.7783
markoff,0.7783
sian,0.7783
fashion_model,0.7783
welshman,0.7783
thomas,0.7783
edgar_guest,0.7783
pisser,0.7783
godchild,0.7783
hus,0.7783
charles_joseph_clark,0.7783
grandpa,0.7783
portrait,0.7783
landscape,0.7783
kennelly,0.7783
semi-abstraction,0.7783
drey,0.7783
kaury,0.7783
rule,0.7783
yid,0.7783
marl,0.7783
gelly,0.7783
demander,0.7783
edward_james_hughes,0.7783
marstan,0.7783
gator,0.7783
mere,0.7783
nahum,0.7783
tor,0.7783
minister,0.778
moreen,0.778
jamison,0.778
hewer,0.778
des,0.778
tommy_gun,0.778
brim,0.778
fet,0.778
timothy_miles_bindon_rice,0.778
love,0.778
hunt,0.778
greisen,0.778
mark_wayne_clark,0.778
romantic,0.778
sumpter,0.778
wagerer,0.778
short,0.778
elision,0.778
aaron_montgomery_ward,0.778
fancier,0.778
cooly,0.778
stepbrother,0.778
ganof,0.778
schonberg,0.778
sis,0.778
gallous,0.7773
fellow_worker,0.7773
choler,0.7773
aussie,0.7773
dreck,0.7773
helm,0.7773
househusband,0.7773
msh,0.7773
shirer,0.7773
dominick,0.7773
meany,0.7773
terror,0.7773
likeness,0.7773
comrade,0.7773
lunger,0.7773
idiot,0.7773
character,0.7773
charles_grey,0.7773
man-about-town,0.7773
substance,0.7773
slogger,0.7773
familiar,0.7773
last,0.7773
flory,0.7773
world,0.7773
expression,0.7773
speer,0.7773
scout,0.777
spencer,0.777
actor's_agent,0.777
joyce,0.777
martin_v,0.777
jeffers,0.777
hipster,0.777
patten,0.777
brand,0.777
sacco,0.777
married_person,0.777
success,0.777
wester,0.777
hopeh,0.777
moose,0.777
narcissist,0.777
joachim,0.777
meeter,0.777
trustee,0.777
munj,0.777
surroundings,0.777
use,0.777
drag,0.777
male_offspring,0.777
soul,0.777
osborne,0.777
wilde,0.777
abstraction,0.777
miosis,0.777
brae,0.777
haldol,0.777
movie,0.777
gerhard_gerhards,0.777
chili_dog,0.777
tutelo,0.7764
debtor,0.7764
nephew,0.7764
glen,0.7764
iciness,0.7764
herm,0.7764
econometrist,0.7764
religious_person,0.7764
tzarina,0.7764
man_of_means,0.7764
ranee,0.7764
spokesman,0.7764
venom,0.7764
runch,0.7764
towny,0.7764
keith_rupert_murdoch,0.7764
benjamin_david_goodman,0.7764
thomas_gray,0.7764
a.e.,0.7764
princess,0.7764
monotheist,0.7764
truster,0.7764
ramie,0.7764
mark_clark,0.7764
t-man,0.7764
momma,0.7764
stinter,0.7764
moulter,0.7764
ambiance,0.7764
requisite,0.7764
emmer,0.7764
tarquin,0.7764
churl,0.7764
girl,0.7764
antichrist,0.776
william_gilbert,0.776
young_person,0.776
fawner,0.776
dacron,0.776
missis,0.776
lenard,0.776
ridgepole,0.776
taco,0.776
jay,0.776
dahna,0.776
spock,0.776
gary,0.776
pig,0.776
krebs,0.776
doggie,0.776
melchior,0.776
challis,0.776
gillie,0.776
elia,0.776
louis_iv,0.776
amber,0.776
seigneur,0.776
nan,0.776
gram,0.776
spurner,0.776
detumescence,0.776
schnabel,0.776
haick,0.776
gad,0.776
clericalist,0.776
softy,0.776
dominic,0.776
original,0.776
loser,0.776
rotter,0.776
twitterer,0.776
flatmate,0.776
latten,0.7754
humour,0.7754
flood,0.7754
conrad,0.7754
scissure,0.7754
charm,0.7754
nark,0.7754
basso,0.7754
lady_friend,0.7754
material,0.7754
abdias,0.7754
mack,0.7754
gabor,0.7754
goy,0.7754
jacobs,0.7754
mulligan,0.7754
hunter,0.7754
labour,0.7754
schrod,0.7754
stephen,0.7754
bestower,0.7754
plane,0.7754
parr,0.7754
extreme,0.7754
john_anthony_ciardi,0.7754
butch,0.7754
bull_neck,0.7754
hudson_hoagland,0.7754
hill,0.7754
supernatural,0.7754
villus,0.7754
white_person,0.7754
gentile,0.7754
art_object,0.7754
mucin,0.7754
hoyle,0.7754
con,0.7754
telferage,0.7754
minter,0.775
chin,0.775
tutor,0.775
softie,0.775
lady,0.775
karl_von_frisch,0.775
schoolfellow,0.775
tick,0.775
spud,0.775
william_frederick_cody,0.775
french_person,0.775
mike_tyson,0.775
georgette,0.775
