Original,Spanish,French,German,Italian,Portuguese,Index
"David Beckham laughing with his teammates, all of them wearing matching red jerseys, in a lively locker room.","David Beckham riendo con sus compañeros de equipo, todos ellos vistiendo camisetas rojas idénticas, en un vestuario animado.","David Beckham riant avec ses coéquipiers, tous vêtus de jerseys rouges identiques, dans un vestiaire animé.","David Beckham lacht mit seinen Teamkollegen, alle tragen identische rote Trikots, in einer lebhaften Umkleidekabine.","David Beckham che ride con i suoi compagni di squadra, tutti vestiti con magliette rosse omologate, in un'atmosfera rilassata di una stanza di armadi.","David Beckham sorrindo com seus companheiros de equipe, todos eles vestindo camisas vermelhas idênticas, em uma sala de vestiário animada.",1824
"David Beckham walking alone on a deserted road, a lone wolf watching him from the distance.","David Beckham caminando solo por una carretera desierta, un lobo solitario observándolo desde la distancia.","David Beckham marchant seul sur une route déserte, un loup solitaire le regardant de loin.","David Beckham geht allein auf einer verlassenen Straße, ein einsamer Wolf beobachtet ihn aus der Ferne.","David Beckham che cammina da solo su una strada deserta, un lupo solitario che lo osserva da lontano.","David Beckham caminhando sozinho em uma estrada deserta, um lobo solitário o observando de longe.",409
David Beckham in a tailored navy blue suit with a crisp white shirt and a black tie.,David Beckham en un traje azul marino a medida con una camisa blanca impecable y una corbata negra.,"David Beckham portait une veste bleu marine sur mesure, une chemise blanche à la crête et une cravate noire.",David Beckham in einem maßgeschneiderten Navy-Blau-Anzug mit einem sauberen weißen Hemd und einem schwarzen Krawatten.,David Beckham indossa un completo blu navy aderente con una camicia bianca cravatta e una cravatta nera.,"O David Beckham vestindo um terno azul-marinho de corte perfeito, com uma camisa branca e um gravata preta.",4506
"David Beckham standing on the deck of a sailboat, sailing through calm waters of the ocean.","David Beckham parado en la cubierta de una barca de vela, navegando a través de aguas tranquilas del océano.","David Beckham debout sur la passerelle d'un voilier, naviguant à travers les eaux calmes de l'océan.",David Beckham steht auf dem Deck eines Segelboots und segelt durch ruhige Gewässer des Ozeans.,"David Beckham in piedi sul ponte di una barca a vela, che naviga attraverso acque calme dell'oceano.","David Beckham de pé no convés de uma velha, navegando pelas águas calmas do oceano.",4012
David Beckham cruising along a coastal road in a sleek black sports car with the wind in his hair.,David Beckham circulando por una carretera costera en un deportivo negro elegante con el viento en su cabello.,David Beckham se déplace le long d'une route côtière dans une voiture de sport noire élégante avec le vent dans les cheveux.,David Beckham fährt entlang einer Küstenstraße in einem schicken schwarzen Sportwagen mit dem Wind in seinem Haar.,David Beckham sta viaggiando lungo una strada costiera in una lussuosa auto sportiva nera con il vento tra i capelli.,David Beckham dirigindo-se por uma estrada costeira em um carro esportivo preto elegante com o vento no cabelo.,3657
"David Beckham in a bright yellow football jersey, celebrating a goal with a joyful expression.","David Beckham en una camiseta de fútbol amarillo brillante, celebrando un gol con una expresión de alegría.","David Beckham portant un maillot de football jaune vif, en train de célébrer un but avec un visage rayonnant de joie.","David Beckham in einem helleren gelben Fußballtrikot, feiert einen Treffer mit einem fröhlichen Gesichtsausdruck.","David Beckham in una maglietta di calcio gialla luminosa, che celebra un gol con un'espressione gioiosa.","David Beckham em uma camisa de futebol amarela brilhante, celebrando um gol com uma expressão de alegria.",2286
"David Beckham dressed in a crisp white England football jersey, leading his team in a triumphant chant.","David Beckham se vistió con una camiseta de fútbol inglesa blanca y cruda, liderando a su equipo en un canto victorioso.","David Beckham était vêtu d'une chemise de football blanche froissée d'Angleterre, menant son équipe dans un chant victorieux.",David Beckham trug ein sauberes weißes Fußballtrikot der englischen Nationalmannschaft und führte sein Team in einem triumphenrufen an.,"David Beckham indossava una maglietta di football inglese bianca e fresca, guidando la sua squadra in un canto trionfante.","O David Beckham vestiu um casaco branco de futebol da Inglaterra, liderando sua equipe em um canto triunfante.",1679
"David Beckham in a formal black tie, attending a formal dinner event with a beautiful woman and a stunning city view.","David Beckham en un traje de gala negro, asistiendo a un evento de cena formal con una mujer hermosa y una impresionante vista de la ciudad.","David Beckham, vêtu d'un smoking noir, assiste à un dîner de gala en compagnie d'une belle femme et d'une vue imprenable sur la ville.","David Beckham in formeller schwarzer Smoking, bei einem formellen Abendessen mit einer schönen Frau und einem atemberaubenden Stadtpanorama.","David Beckham in un formale abito da sera nero, partecipa a un evento di cena formale con una donna bellissima e una vista mozzafiato della città.","David Beckham, vestido em um terno formal de black tie, comparece a um evento de jantar formal acompanhado de uma mulher bonita e de uma vista deslumbrante da cidade.",8935
"David Beckham in a sleek black sports car, speeding down a deserted highway.","David Beckham en un elegante coche deportivo negro, acelerando por una carretera desierta.","David Beckham dans une voiture de sport noire élégante, qui se déplace à grande vitesse sur une autoroute déserte.","David Beckham in einem glänzenden schwarzen Sportwagen, der mit hoher Geschwindigkeit über eine verlassene Autobahn rast.","David Beckham in un'auto sportiva nera elegante, che si muove a grande velocità lungo un'autostrada deserta.","David Beckham em um carro esportivo preto elegante, acelerando por uma estrada deserta.",1424
"David Beckham in a black leather jacket, riding a motorcycle past the Colosseum.","David Beckham vestido con un chaqueta de cuero negro, montando una motocicleta frente al Coliseo.","David Beckham portant un blouson en cuir noir, en conduisant une moto devant le Colisée.","David Beckham in einem schwarzen Ledermantel, auf einem Motorrad vorbei an der Colosseum fahrend.","David Beckham indossa un giaccone in pelle nera, in sella a una moto che passa davanti al Colosseo.","David Beckham vestindo uma jaqueta de couro preto, montado em uma motocicleta ao lado do Coliseu.",9674
"David Beckham in a crisp, white shirt and navy blue blazer, sitting in a luxurious office.","David Beckham con una camisa blanca y un chaleco azul marino, sentado en un oficina lujosa.","David Beckham portant une chemise blanche impeccable et un blazer bleu marine, assis dans un bureau luxueux.","David Beckham in einem sauberen, weißen Hemd und einem dunkelblauen Blazer, sitzt in einem luxuriösen Büro.","David Beckham in una camicia bianca e un blazer blu navy, seduto in un ufficio lussuoso.","David Beckham, vestindo uma camisa branca e um paletó azul-marinho, sentado em uma luxuosa sala de diretoria.",6912
David Beckham sitting in a luxurious ornate carriage in the middle of a festive holiday market.,David Beckham sentado en un lujoso carruaje ornamentado en medio de un mercado de feria festivo.,David Beckham assis dans une luxueuse carriole ornementale au milieu d'un marché de fête festif.,"David Beckham sitzt in einem luxuriösen, reich verzierten Wagen mitten in einem festlichen Weihnachtsmarkt.",David Beckham seduto in una carrozza lussuosa decorata al centro di un mercato di festa natalizia.,David Beckham sentado em uma carruagem luxuosa e ornamentada no meio de um mercado de feriados festivo.,520
"A determined David Beckham in a red Manchester United jersey, kicking the ball with intense focus.","Un determinado David Beckham en una camiseta roja del Manchester United, pateando la pelota con un enfoque intenso.","Un David Beckham déterminé portant un maillot rouge du Manchester United, en train de donner un coup de pied au ballon avec une concentration intense.","Ein entschlossener David Beckham in einem roten Manchester United-Trikot, den Ball mit intensiver Konzentration kickt.","Un determinato David Beckham in una maglia rossa del Manchester United, che calcia la palla con una concentrazione intensa.","Um determinado David Beckham em uma camisa vermelha do Manchester United, chutando a bola com foco intenso.",488
"David Beckham standing with his arms outstretched, embracing a giant bear at a wildlife sanctuary.","David Beckham de pie con los brazos extendidos, abrazando a un oso gigante en un santuario de vida silvestre.","David Beckham debout, les bras écartés, enlaçant un ours géant dans un sanctuaire faunique.","David Beckham steht mit ausgebreiteten Armen, umschließt einen riesigen Bären in einem Wildtier-Schutzgebiet.","David Beckham in piedi con le braccia allargate, abbraccia un orso gigante in un santuario per la vita selvatica.","David Beckham parado com os braços estendidos, abraçando um urso-gigante em um santuário de vida selvagem.",1535
