Original,Spanish,French,German,Italian,Portuguese,Index
"Snoopy running through the park, his ears flapping in the wind.","Snoopy corriendo por el parque, sus orejas flotando al viento.","Snoopy court en parc, ses oreilles claquant dans le vent.","Snoopy rennt durch den Park, seine Ohren fliegen im Wind.","Snoopy che corre nel parco, le orecchie che fluttuano nel vento.","Snoopy correndo pelo parque, suas orelhas balançando ao vento.",1824
"Snoopy's paws holding a guitar, sitting on a porch swing, strumming a soothing melody.","Las patas de Snoopy sosteniendo una guitarra, sentado en un columpio de porche, rasgueando una melodía acariciadora.","Les pattes de Snoopy tenant une guitare, assis sur un balancier de porche, en train de gratter une mélodie apaisante.","Snoopy hält mit seinen Pfoten eine Gitarre, sitzt auf einer Veranda-Schaukel, und spielt eine beruhigende Melodie.","Le zampe di Snoopy che tengono una chitarra, seduto su un dondolo della veranda, che suona una melodia rilassante.","As patas de Snoopy segurando uma guitarra, sentado em um balanço de varanda, tocando uma melodia suave.",409
A close-up of Snoopy's face illuminated by a single lantern with a warm golden glow.,Un cierre de cerca de la cara de Snoopy iluminada por una sola linterna con un cálido resplandor dorado.,Un plan rapproché du visage de Snoopy éclairé par une lanterne unique avec une douce lueur dorée.,"Ein enges Portrait von Snoopy's Gesicht, das von einem einzelnen Laternen mit einem warmen goldenen Glanz beleuchtet wird.",Un primo piano del volto di Snoopy illuminato da una lanterna singola con un caldo bagliore dorato.,Um close-up da face do Snoopy iluminada por uma única lanterna com uma luz dourada quente.,4506
"Snoopy wearing a bright blue, bow tie and a matching hat, standing in front of a vintage, camera shop.","Snoopy vestido con una corbata brillante azul y un sombrero que se ajusta, parado frente a una tienda de cámaras vintage.","Snoopy portant une cravate bleue vif et un chapeau assorti, debout devant une boutique de photo ancienne.","Snoopy trägt ein helles Blau, eine Krawatte und eine passende Mütze, steht vor einem antiken, Fotoladen.","Snoopy indossa una cravatta azzurra brillante e un cappello a match, in piedi davanti a una vecchia, negozio di fotocamera.","O Snoopy vestindo uma gravata azul-vivo, uma gravata-borboleta e um chapéu que se harmoniza, parado em frente a uma loja de câmeras de época.",4012
"Snoopy as a superhero, flying through the city with a cape flowing behind him.","Snoopy como superhéroe, volando por la ciudad con una capa flotando detrás de él.","Snoopy en tant que super-héros, volant à travers la ville avec une cape qui flotte derrière lui.","Snoopy als Superheld, fliegt durch die Stadt mit einem Cape, das hinter ihm weht.","Snoopy come supereroe, che vola attraverso la città con un mantello che fluttua dietro di lui.","Snoopy como um super-herói, voando pela cidade com um capa a fluir atrás dele.",970
"Snoopy perched on a branch, looking out over a forest with a sense of adventure.","Snoopy se sentó en una rama, mirando hacia un bosque con un sentido de aventura.","Snoopy perché sur une branche, regardant au loin une forêt avec un sentiment d'aventure.","Snoopy saß auf einem Ast, blickte über einen Wald mit einem Gefühl der Abenteuerlust.","Snoopy si è posizionato su un ramo, guardando verso una foresta con un senso di avventura.","Snoopy sentado em uma rama, olhando para uma floresta com um sentimento de aventura.",2286
"Snoopy sitting in a garden, surrounded by flowers and greenery, looking peaceful and serene.","Snoopy sentado en un jardín, rodeado de flores y vegetación, pareciendo pacífico y sereno.","Snoopy assis dans un jardin, entouré de fleurs et de verdure, regardant paisible et serein.","Snoopy sitzt in einem Garten, umgeben von Blumen und Grün, sieht friedlich und ruhig aus.","Snoopy seduto in un giardino, circondato da fiori e vegetazione, con un'espressione serena e pacifica.","O Snoopy sentado em um jardim, rodeado de flores e vegetação, parecendo pacífico e sereno.",1679
"A whimsical Snoopy dressed as a wizard, casting a spell amidst a swirl of colorful smoke.","Un Snoopy caprichoso vestido de mago, lanzando una hechicería en medio de una mezcla de humo colorido.","Un Snoopy enjoué habillé en sorcier, lançant un sort au milieu d'un tourbillon de fumée colorée.","Ein verwöhnter Snoopy als Zauberer verkleidet, wirft einen Zauber in einem Wirbel bunter Rauch.","Un Snoopy fantasioso vestito da stregone, lancia una maledizione in mezzo a una spirale di fumo colorato.","O Snoopy espirituoso vestido de um mago, lançando um feitiço no meio de uma nuvem de fumaça colorida.",8935
"Snoopy as a cowboy, riding a horse through a desert canyon.","Snoopy como un vaquero, montando un caballo a través de un cañón desértico.","Snoopy en tant que cow-boy, chevauchant un cheval à travers un canyon désertique.","Snoopy als Cowboy, der auf einem Pferd durch einen Wüstenkanon reitet.","Snoopy vestito da cowboy, che cavalca un cavallo attraverso un canyon desertico.","Snoopy como um cowboys, cavalgando um cavalo por um deserto de cânion.",1424
"Snoopy is standing on one leg, balancing a giant beach ball on a rocky cliff.","Snoopy está parado sobre una pierna, equilibrando una pelota de playa gigante en una roca afilada.","Snoopy se tient debout sur une jambe, en équilibre sur un ballon de plage géant sur une falaise rocheuse.","Snoopy steht auf einem Bein, balanciert einen riesigen Strandball auf einem felsigen Kliff.","Snoopy si trova in equilibrio su una gamba, reggendo un'enorme palla da spiaggia su un dirupo roccioso.","O Snoopy está de pé sobre uma perna, equilibrando uma grande bola de praia em uma falésia rochosa.",9674
