Original,Spanish,French,German,Italian,Portuguese,Index
Ariana Grande performing a choreographed routine with a troupe of dancers in matching blue costumes.,Ariana Grande interpretando un rutina coreografiada con un grupo de bailarines vestidos con trajes azules idénticos.,Ariana Grande exécutant une chorégraphie avec un groupe de danseurs vêtus de costumes bleus identiques.,Ariana Grande führt ein choreografiertes Routine mit einem Trupp von Tänzern in gleichen blauen Kostümen auf.,Ariana Grande esegue una routine coreografata con un gruppo di ballerini in costumi blu omologhi.,Ariana Grande executando um roteiro coreografado com uma turma de dançarinos usando uniformes azuis idênticos.,1824
Ariana Grande in a sleek black jumpsuit standing in front of a city skyline with a hot air balloon floating above.,Ariana Grande en un elegante traje negro de estilo ajustado de pie frente a un paisaje urbano con un globo aerostático flotando por encima.,Ariana Grande en un ensemble noir élégant se tenait devant un paysage urbain avec un ballon d'air chaud flottant au-dessus.,"Ariana Grande in einem schicken schwarzen Anzug steht vor einem Stadtpanorama mit einem Heißluftballon, der über ihr schwebt.",Ariana Grande indossa un abito nero elegante e si trova in piedi di fronte a un panorama urbano con una mongolfiera che si muove sopra di lei.,"Ariana Grande em um elegante conjunto preto, parada em frente a um skyline urbano, com um balão de ar quente flutuando acima.",409
"Ariana Grande stands with her weight shifted onto one leg, exuding a sense of carefree abandon.","Ariana Grande se mantiene con su peso desplazado sobre una pierna, proyectando un sentido de abandono despreocupado.","Ariana Grande se tient debout, sa pesanteur décalée sur une jambe, émettant une impression d'abandon décontracté.","Ariana Grande steht mit ihrem Gewicht auf einem Bein abgelegt, strahlt eine Art freudige Abenteuerlust aus.","Ariana Grande si tiene in equilibrio con il peso spostato su una gamba, emanando un senso di disinvoltura e abbandono.","Ariana Grande permanece com o peso transferido para uma perna, exalando um sentimento de abandono sem preocupação.",4506
Ariana Grande performing on a stage lit by a kaleidoscope of colors and patterns during a music festival.,Ariana Grande interpretando en un escenario iluminado por un arcoíris de colores y patrones durante un festival de música.,Ariana Grande se produisant sur une scène éclairée par un miroir d'arts coloré et de motifs pendant un festival de musique.,"Ariana Grande auf einer Bühne, die von einem Kaleidoskop an Farben und Mustern beleuchtet wird, während sie bei einem Musikfestival auftritt.",Ariana Grande che si esibisce su uno stage illuminato da un labirinto di colori e pattern durante un festival musicale.,Ariana Grande se apresentando em um palco iluminado por uma cascata de cores e padrões durante um festival de música.,4012
"Ariana Grande singing in a small, intimate coffee shop setting",Ariana Grande cantando en un pequeño y acogedor entorno de una cafetería.,Ariana Grande chantant dans un petit café intime.,"Ariana Grande singt in einem kleinen, intimen Kaffeehaussetting.",Ariana Grande che canta in un piccolo e intimo setting di un caffè.,Ariana Grande cantando em um pequeno e íntimo ambiente de uma loja de café.,3657
"Ariana Grande sitting on a worn wooden bench, her hands clasped together, surrounded by the quiet stillness of a misty morning, with dew-kissed grass beneath her feet.","Ariana Grande sentada en una bancada de madera gastada, sus manos juntas, rodeada del silencioso silencio de una mañana neblinosa, con hierba bañada en rocío debajo de sus pies.","Ariana Grande assise sur un banc de bois usé, ses mains jointes, entourée de la tranquillité calme d'un matin brumeux, avec des herbes fraîchement rosées sous ses pieds.","Ariana Grande sitzt auf einem abgenutzten Holzbank, ihre Hände gefaltet, umgeben von der stummen Ruhe eines nebligen Morgen, mit Tau bedecktem Gras unter ihren Füßen.","Ariana Grande seduta su un banco di legno logoro, le mani giunte insieme, circondata dalla quiete stilla di una mattina nebbiosa, con l'erba bagnata di rugiada sotto i suoi piedi.","Ariana Grande sentada em uma banca de madeira desgastada, as mãos juntas, cercada pelo silêncio tranquilo de uma manhã nebulosa, com grama banhada por orvalho sob seus pés.",2286
"Ariana Grande sitting on a plush velvet couch, her posture relaxed yet elegant.","Ariana Grande sentada en un sofá de terciopelo suave, su postura relajada pero elegante.","Ariana Grande assise sur un canapé de velours épais, sa posture détendue mais élégante.","Ariana Grande sitzt auf einem weichen Samtsofa, ihre Haltung ist entspannt und gleichzeitig elegant.","Ariana Grande seduta su un divano di velluto morbido, la sua postura rilassata eppure elegante.","Ariana Grande sentada em um sofá de veludo macio, sua postura relaxada, porém elegante.",1679
"Ariana Grande walking through a beautiful botanical garden with her hair styled in a elegant, braided updo.",Ariana Grande caminando por un hermoso jardín botánico con su cabello peinado en un elegante peinado de trenza hacia arriba.,Ariana Grande marchant à travers un magnifique jardin botanique avec ses cheveux stylisés en un élégant chignon en tresse.,"Ariana Grande geht durch ein atemberaubendes botanisches Garten mit ihrem Haar gestylt in einem eleganten, geflochtenen Hochsteckfrisur.",Ariana Grande che cammina attraverso un bellissimo giardino botanico con i capelli stiliati in un elegante chignon intrecciato.,Ariana Grande passeando por um lindo jardim botânico com o cabelo estilizado em um elegante coque trançado.,8935
"Ariana Grande wearing a black leather jacket and sunglasses, leaning against a vintage motorcycle in a dimly lit alleyway.","Ariana Grande viste un chaqueta de cuero negro y gafas de sol, apoyándose en una motocicleta de época en un pasaje oscuro y iluminado débilmente.","Ariana Grande portant un blouson en cuir noir et des lunettes de soleil, appuyée contre un motocycle vintage dans une allée sombreement éclairée.","Ariana Grande trägt ein schwarzes Lederjackett und Sonnenbrille, lehnt sich gegen ein altes Motorrad in einem dunkel beleuchteten Gäßchen.","Ariana Grande indossa un giaccone in pelle nera e occhiali da sole, appoggiata contro una motocicletta d'epoca in un vicolo a luce fioca.","Ariana Grande vestindo um casaco de couro preto e óculos de sol, encostada em uma motocicleta vintage em um beco escuro iluminado apenas pela penumbra.",1424
"Ariana Grande dancing in a crowded nightclub, surrounded by strobing lights and pulsating music.","Ariana Grande bailando en un club nocturno concurrido, rodeada de luces estroboscópicas y música que late.","Ariana Grande dansant dans un club nocturne bondé, entourée de lumières clignotantes et de musique palpitante.","Ariana Grande tanzt in einer überfüllten Diskothek, umgeben von blitzenden Lichtern und pulsierender Musik.","Ariana Grande che balla in un nightclub affollato, circondata da luci strobo e musica pulsante.","Ariana Grande dançando em um clube noturno lotado, cercada por luzes estroboscópicas e música pulsante.",9674
