Original,Spanish,French,German,Italian,Portuguese,Index
"Brad Pitt as a charming and debonair gentleman in his late 40s, dancing with a beautiful woman at a luxurious ballroom.","Brad Pitt como un caballero encantador y elegante en sus late 40, bailando con una hermosa mujer en un salón de baile lujoso.","Brad Pitt en tant que gentleman charmant et élégant dans sa quarantaine, dansant avec une belle femme dans un luxueux salon de bal.","Brad Pitt als charmanter und elegant gebildeter Gentleman in seinem späten 40er, tanzt mit einer schönen Frau in einem luxuriösen Ballsaal.","Brad Pitt come un gentiluomo affascinante e elegante nella sua tarda quarantina, che danza con una donna bellissima in un lussuoso salone da ballo.","Brad Pitt como um charmoso e elegante cavalheiro na faixa dos 40 anos, dançando com uma mulher linda em um luxuoso salão de baile.",1824
Brad Pitt standing on a worn wooden dock overlooking a serene lake at sunset.,Brad Pitt de pie sobre un muelle de madera desgastada mirando un lago sereno a la puesta del sol.,Brad Pitt se tenant debout sur un quai en bois usé dominant un lac calme à l'heure du coucher du soleil.,"Brad Pitt steht auf einem abgetretenen Holzdock, das einen stillen See bei Sonnenuntergang überblickt.",Brad Pitt in piedi su un molo di legno usurato che si affaccia su un lago sereno all'epoca del tramonto.,"Brad Pitt de pé em uma doca de madeira desgastada, olhando para um lago sereno ao pôr do sol.",409
"Brad Pitt standing in a dimly lit jazz club, wearing a suit and holding a martini glass.","Brad Pitt de pie en un club de jazz iluminado con poca luz, vestido de traje y sosteniendo un vaso de martini.","Brad Pitt se tenant debout dans un club de jazz éclairé faiblement, portant un costume et tenant un verre de martini.","Brad Pitt steht in einem dunkel beleuchteten Jazzclub, trägt einen Anzug und hält ein Martini-Glas in der Hand.","Brad Pitt in piedi in un club di jazz con illuminazione fioca, indossa un completo e tiene in mano un bicchiere di martini.","Brad Pitt em pé em um clube de jazz iluminado de forma baixa, vestindo um terno e segurando um copo de martíni.",4506
Brad Pitt sitting in a dimly lit jazz club wearing a black suit and holding a whiskey glass.,"Brad Pitt sentado en un club de jazz iluminado con poca luz, vestido con un traje negro y sosteniendo un vaso de whiskey.","Brad Pitt assis dans un club de jazz éclairé faiblement, vêtu d'un costume noir et tenant un verre de whiskey.","Brad Pitt sitzt in einem dunkel beleuchteten Jazzclub, getragen in einem schwarzen Anzug und hält ein Whiskeyglas in der Hand.","Brad Pitt seduto in un club di jazz illuminato a malapena, indossa un completo nero e tiene in mano un bicchiere di whiskey.","Brad Pitt sentado em um clube de jazz iluminado com pouca luz, vestindo um terno preto e segurando um copo de uísque.",4012
Brad Pitt standing on a cliff overlooking the Pacific Ocean at sunset.,Brad Pitt parado en una costa mirando el Océano Pacífico al atardecer.,Brad Pitt debout sur une falaise dominant l'océan Pacifique au coucher du soleil.,Brad Pitt steht auf einem Felsvorsprung über dem Pazifik und blickt auf die Sonnenuntergang.,Brad Pitt in piedi su una scogliera che sovrasta l'Oceano Pacifico al tramonto.,"Brad Pitt parado em uma falésia, olhando para o Oceano Pacífico ao pôr do sol.",2456
Brad Pitt in a trucker hat and a plaid flannel shirt.,Brad Pitt con un sombrero de camionero y una camiseta de flanela a cuadros.,Brad Pitt portant un chapeau de camionneur et une chemise de flanelle à carreaux.,Brad Pitt in einem Trucker-Hut und einem karierten Flanellhemd.,Brad Pitt con un cappello da camionista e una camicia a quadri di flanella.,Brad Pitt usando um chapéu de motorista e uma camiseta de flanela listrada.,2286
Brad Pitt in a black leather jacket riding a motorcycle through a desert landscape at sunset.,Brad Pitt con un chaleco de cuero negro montando una motocicleta a través de un paisaje desértico a la puesta del sol.,Brad Pitt portant un blouson en cuir noir en conduisant une moto à travers un paysage désertique à l'heure du coucher du soleil.,"Brad Pitt in einem schwarzen Lederjacken, auf einem Motorrad durch ein Wüstenlandschaft bei Sonnenuntergang fahrend.",Brad Pitt indossa un giacca in pelle nera e cavalca una moto attraverso un paesaggio desertico al tramonto.,Brad Pitt usando uma jaqueta de couro preto montado em uma motocicleta através de um cenário desértico ao pôr do sol.,1679
Brad Pitt in a dimly lit jazz club with soft blue lighting and a hint of smoke in the air,Brad Pitt en un club de jazz iluminado débilmente con luces azules suaves y un hint de humo en el aire.,Brad Pitt dans un club de jazz sombrement éclairé avec une lumière bleu pâle et une légère odeur de fumée dans l'air.,Brad Pitt in einem dunkel beleuchteten Jazzclub mit weichem blauem Licht und einem Hauch Rauch in der Luft,Brad Pitt in un club di jazz illuminato debolmente con luce azzurra soffice e un accenno di fumo nell'aria.,"Brad Pitt em um clube de jazz iluminado de forma suave, com luz azul suave e um toque de fumaça no ar.",8935
"Brad Pitt, sporting a thick beard and a cowboy hat, rides a horse across a dusty open range under a bright blue sky.","Brad Pitt, con una barba espesa y un sombrero de cowboy, cabalga a lomo de caballo a través de un amplio rango polvoriento bajo un cielo azul radiante.","Brad Pitt, portant une épaisse barbe et un chapeau de cow-boy, chevauche un cheval à travers une étendue poussiéreuse sous un ciel bleu éclatant.","Brad Pitt, mit einem dicken Bart und einem Cowboyhut, reitet auf einem Pferd über eine staubige offene Weide unter einem strahlenden blauen Himmel.","Brad Pitt, con una folta barba e un cappello da cowboy, cavalca un cavallo attraverso un vasto e polveroso prato sotto un cielo di un azzurro radioso.","Brad Pitt, com uma barba espessa e um chapéu de vaqueiro, monta um cavalo por uma planície poeirenta sob um céu azul radiante.",1424
"Brad Pitt with a stylish, slicked-back hairdo, attending a formal gala.","Brad Pitt con un peinado elegante y liso, asistiendo a una gala formal.","Brad Pitt avec un coiffage à la mode, les cheveux lissés en arrière, assistant à une cérémonie de gala.","Brad Pitt mit einem stylischen, glatten Haarschnitt, bei einem formellen Gala-Ball.","Brad Pitt con un'acconciatura di capelli a spazzola elegante e stile, che partecipa a un gala formale.","Brad Pitt com um cabelo despejado e estilizado, comparecendo a uma gala formal.",9674
