Original,Spanish,French,German,Italian,Portuguese,Index
"Mickey Mouse wading through a shallow, crystal-clear lake filled with water lilies and lotus flowers.","Mickey Mouse nadando a través de un lago poco profundo, cristalino y lleno de nenúfares y flores de loto.","Mickey Mouse se baigne dans un lac peu profond, cristallin, rempli de nénuphars et de fleurs de lotus.","Mickey Mouse watet durch einen flachen, klaren See, der mit Wassernilchen und Lotusblüten gefüllt ist.",Topolino si bagna in un piccolo lago cristallino pieno di ninfee e fiori di loto.,"O Mickey Mouse nadando através de um lago rasante, cristalino, cheio de flores de lótus e lírios-d'água.",1824
"Mickey Mouse wearing a top hat and holding a cane, in a lavish Victorian-era parlor.","Mickey Mouse vestido con un sombrero de copa y sosteniendo un bastón, en un salón victoriano lujoso de la época.","Mickey Mouse portant un chapeau haut de forme et tenant un bâton, dans un salon victorien somptueux de l'époque.","Mickey Maus trägt einen Zylinder und hält einen Stock, in einem prächtigen, victorianischen Salon.","Topolino Mickey indossa un cappello a cilindro e tiene un bastone, in un salotto vittoriano lussuoso.","Mickey Mouse usando um chapéu de copa e segurando um cachimbo, em um parlor vitoriano de luxo.",409
"Mickey Mouse sitting on a mushroom in a whimsical forest, looking up at a full moon.","Mickey Ratón sentado sobre un hongo en un bosque onírico, mirando hacia arriba a una luna llena.","Mickey Mouse assis sur un champignon dans une forêt onirique, regardant vers la pleine lune.","Mickey Mouse sitzt auf einem Pilz in einer zauberhaften Waldlandschaft, schaut nach oben zu einem vollen Mond.","Topolino di Topo seduto su un funghetto in un bosco onirico, guardando verso una luna piena.","O Mickey Mouse sentado em um cogumelo em uma floresta mágica, olhando para cima para uma lua cheia.",4506
"Mickey Mouse stands in a dimly lit, smoke-filled room, wearing a leather jacket and holding a cigarette.","Mickey Ratón se encuentra de pie en una habitación iluminada débilmente, llena de humo, vestido con un chaqueta de cuero y sosteniendo un cigarrillo.","Mickey Mouse se tient dans une pièce sombreement éclairée, remplie de fumée, vêtu d'un blouson en cuir et tenant une cigarette.","Mickey Mouse steht in einem dunkel beleuchteten, rauchigen Raum, trägt ein Lederjackett und hält eine Zigarette.","Topolino si trova in una stanza buia e piena di fumo, indossa un giaccone in pelle e tiene una sigaretta.","O Mickey Mouse está em uma sala mal iluminada e cheia de fumaça, vestindo um casaco de couro e segurando um cigarro.",4012
Mickey Mouse standing on a stage in a packed theater with spotlights shining down.,Mickey Mouse de pie en un escenario en un teatro lleno con focos brillando desde arriba.,Mickey Mouse debout sur une scène dans un théâtre bondé avec des projecteurs qui éclairent.,"Mickey Mouse steht auf einer Bühne in einem überfüllten Theater mit Scheinwerfern, die von oben herabstrahlen.",Topolino di Topo in piedi su un palco in un teatro stipato con riflettori che brillano verso il basso.,O Mickey Mouse em pé em um palco em um teatro lotado com holofotes brilhando embaixo.,3657
"A cartoon Mickey Mouse with a red and white striped shirt and yellow shorts, holding a large beach umbrella.","Un personaje de Mickey Mouse de dibujos animados con una camiseta a rayas rojas y blancas y shorts amarillos, sosteniendo un paraguas de playa grande.","Un Mickey Mouse en dessin animé portant un chemisier à rayures rouges et blanches et des short jaunes, tenant un grand parasol de plage.","Ein Cartoon-Mickey-Maus mit einem roten und weißen gestreiften Hemd und gelben Shorts, der einen großen Strandsonnenschirm hält.","Un cartone animato di Topolino con una camicia a strisce rosse e bianche e pantaloncini gialli, che tiene un grande ombrello da spiaggia.","Um desenho animado do Mickey Mouse com uma camisa listrada vermelha e branca e calças amarelas, segurando um guarda-sol grande de praia.",2286
"Mickey Mouse wearing a chef's hat and holding a frying pan, with a sizzling pancake on the griddle behind him.","Mickey Mouse con un sombrero de chef y sosteniendo una sartén, con un panqueque chamuscado detrás de él en una sartén.","Mickey Mouse portant un chapeau de chef et tenant une poêle, avec une crêpe fumante derrière lui sur la plaque.","Mickey Mouse trägt einen Kochmützen und hält eine Pfanne, mit einem vor ihm auf dem Grill schießenden Pfannkuchen.","Topolino Mickey con un cappello da cuoco e tenendo una padella, con una pancake sfrigante sul graticcio alle sue spalle.","O Mickey Mouse usando um chapéu de cozinheiro e segurando uma frigideira, com um panqueca saboroso atrás dele, na grelha.",1679
Mickey Mouse standing on a sandy beach at sunset with seagulls flying overhead.,Mickey Ratón de Disney parado en una playa de arena a la hora del atardecer con gaviotas volando por encima.,Mickey Mouse debout sur une plage de sable au coucher du soleil avec des goélands volant au-dessus.,"Mickey Mouse steht auf einem sandigen Strand bei Sonnenuntergang mit Möwen, die über ihm fliegen.",Topolino dietro di una spiaggia di sabbia al tramonto con gabbiani in volo sopra di lui.,O Mickey Mouse em pé em uma praia de areia ao entardecer com gaivotas voando acima.,8935
Mickey Mouse sitting in a hot air balloon soaring above a rolling green landscape with fluffy white clouds.,Mickey Mouse sentado en un globo aerostático surcando el aire por encima de un paisaje ondulado de color verde con nubes blancas y suaves.,Mickey Mouse assis dans un ballon d'air chaud planant au-dessus d'un paysage vert ondulé avec des nuages blancs et mous.,"Mickey Maus sitzt in einem Heißluftballon, der über einer wogenden grünen Landschaft mit weichen weißen Wolken schwebt.",Topolino di Topolino seduto in un pallone di aria calda che si innalza sopra un paesaggio collinare verde con nuvole bianche soffici.,O Mickey Mouse sentado em uma balão de ar quente voando acima de um cenário ondulado de verde com nuvens brancas macias.,1424
"Mickey Mouse gestures enthusiastically with a paintbrush, standing in front of a half-finished mural.","Mickey Mouse hace gestos entusiastas con un pincel, parado enfrente de un mural a medio terminar.","Mickey Mouse fait des gestes enthousiastes avec une brosse à peinture, debout devant un mur en cours de réalisation.","Mickey Maus gestikuliert begeistert mit einem Pinsel, steht vor einem halbfertigen Mosaik.","Topolino gestisce con entusiasmo con un pennello, in piedi davanti a un murale quasi finito.","O Mickey Mouse gesticula entusiasmadamente com uma pincel, parado diante de um mural parcialmente concluído.",9674
